,club_name,player_name,age,position,club_involved_name,fee,fee_converted,transfer_movement,transfer_period,league_name,year,season
8786,Torino FC,Leandro Castán,29.0,Centre-Back,Sampdoria,Loan fee:£450Th.,0.5809382919,in,Summer,Serie A,2016,2016/2017
8787,Udinese Calcio,Stipe Perica,20.0,Striker,Chelsea,£4.05m,5.2284446271,in,Summer,Serie A,2016,2016/2017
8788,Udinese Calcio,Seko Fofana,21.0,Central Midfield,Man City U23,£3.15m,4.0665680433,in,Summer,Serie A,2016,2016/2017
8789,Udinese Calcio,Ewandro Costa,20.0,Right Winger,São Paulo,£2.70m,3.4856297514000008,in,Summer,Serie A,2016,2016/2017
8790,Udinese Calcio,Rodrigo de Paul,22.0,Attacking Midfield,Valencia,£2.70m,3.4856297514000008,in,Summer,Serie A,2016,2016/2017
8791,Udinese Calcio,Pervis Estupiñán,18.0,Left-Back,LDU Quito,£450Th.,0.5809382919,in,Summer,Serie A,2016,2016/2017
8792,Atalanta BC,Hans Hateboer,23.0,Right-Back,FC Groningen,£936Th.,1.208351647152,in,Winter,Serie A,2016,2016/2017
8793,Atalanta BC,Alessandro Santopadre,18.0,Goalkeeper,Perugia,£900Th.,1.1618765838,in,Winter,Serie A,2016,2016/2017
8794,Atalanta BC,Nicolò Fazzi,21.0,Right Winger,Perugia,£630Th.,0.8133136086600001,in,Winter,Serie A,2016,2016/2017
8795,Atalanta BC,Gianluca Mancini,20.0,Centre-Back,Perugia,£270Th.,0.34856297514,in,Winter,Serie A,2016,2016/2017
8796,Bologna FC 1909,Juan Manuel Valencia,18.0,Attacking Midfield,Cortuluá,£1.26m,1.6266272173200003,in,Winter,Serie A,2016,2016/2017
8797,Bologna FC 1909,Bruno Petkovic,22.0,Striker,Trapani,£1.17m,1.51043955894,in,Winter,Serie A,2016,2016/2017
8798,FC Crotone,Maxwell Acosty,25.0,Right Winger,Latina Calcio,£540Th.,0.69712595028,in,Winter,Serie A,2016,2016/2017
8799,FC Empoli,Miha Zajc,22.0,Attacking Midfield,NK Olimpija,£2.07m,2.67231614274,in,Winter,Serie A,2016,2016/2017
8800,FC Empoli,Omar El Kaddouri,26.0,Central Midfield,SSC Napoli,£1.08m,1.39425190056,in,Winter,Serie A,2016,2016/2017
8801,ACF Fiorentina,Riccardo Saponara,25.0,Attacking Midfield,FC Empoli,Loan fee:£1.35m,1.7428148757000004,in,Winter,Serie A,2016,2016/2017
8802,ACF Fiorentina,Marco Sportiello,24.0,Goalkeeper,Atalanta,Loan fee:£297Th.,0.383419272654,in,Winter,Serie A,2016,2016/2017
8803,Genoa CFC,Leonardo Morosini,21.0,Attacking Midfield,Brescia,£2.25m,2.9046914595000004,in,Winter,Serie A,2016,2016/2017
8804,Genoa CFC,Andrea Beghetto,22.0,Left Winger,SPAL,£315Th.,0.40665680433000007,in,Winter,Serie A,2016,2016/2017
8805,Genoa CFC,Oscar Hiljemark,24.0,Central Midfield,US Palermo,Loan fee:£270Th.,0.34856297514,in,Winter,Serie A,2016,2016/2017
8806,Genoa CFC,Raffaele Palladino,32.0,Left Winger,Crotone,£225Th.,0.29046914595,in,Winter,Serie A,2016,2016/2017
8807,Genoa CFC,Simone Tascone,19.0,Central Midfield,Ternana,£90Th.,0.11618765838,in,Winter,Serie A,2016,2016/2017
8808,Inter Milan,Stevan Jovetic,27.0,Striker,Man City,£12.15m,15.685333881300002,in,Winter,Serie A,2016,2016/2017
8809,Inter Milan,Roberto Gagliardini,22.0,Central Midfield,Atalanta,Loan fee:£1.80m,2.3237531676,in,Winter,Serie A,2016,2016/2017
8810,Juventus FC,Mattia Caldara,22.0,Centre-Back,Atalanta,£17.10m,22.075655092200005,in,Winter,Serie A,2016,2016/2017
8811,Juventus FC,Tomás Rincón,28.0,Defensive Midfield,Genoa,£7.20m,9.2950126704,in,Winter,Serie A,2016,2016/2017
8812,Juventus FC,Riccardo Orsolini,20.0,Right Winger,Ascoli,£5.40m,6.9712595028000015,in,Winter,Serie A,2016,2016/2017
8813,AC Milan,Gerard Deulofeu,22.0,Left Winger,Everton,Loan fee:£630Th.,0.8133136086600001,in,Winter,Serie A,2016,2016/2017
8814,AC Milan,Lucas Ocampos,22.0,Right Winger,Marseille,Loan fee:£450Th.,0.5809382919,in,Winter,Serie A,2016,2016/2017
8815,SSC Napoli,Leonardo Pavoletti,28.0,Striker,Genoa,£16.20m,20.9137785084,in,Winter,Serie A,2016,2016/2017
8816,SSC Napoli,Leandrinho,18.0,Left Winger,Ponte Preta,£531Th.,0.6855071844420001,in,Winter,Serie A,2016,2016/2017
8817,US Palermo,Stefan Silva,26.0,Striker,GIF Sundsvall,£720Th.,0.92950126704,in,Winter,Serie A,2016,2016/2017
8818,Delfino Pescara 1936,Andrés Cubas,20.0,Defensive Midfield,Boca Juniors,Loan fee:£126Th.,0.16266272173200003,in,Winter,Serie A,2016,2016/2017
8819,Delfino Pescara 1936,Cesare Bovo,33.0,Centre-Back,Torino,£90Th.,0.11618765838,in,Winter,Serie A,2016,2016/2017
8820,AS Roma,Emerson,22.0,Left-Back,Santos FC,£1.80m,2.3237531676,in,Winter,Serie A,2016,2016/2017
8821,UC Sampdoria,Valerio Verre,23.0,Attacking Midfield,Pescara,£3.69m,4.7636939935800005,in,Winter,Serie A,2016,2016/2017
8822,UC Sampdoria,Bartosz Bereszynski,24.0,Right-Back,Legia Warszawa,£1.62m,2.0913778508400003,in,Winter,Serie A,2016,2016/2017
8823,UC Sampdoria,Lorenco Simic,20.0,Centre-Back,Hajduk Split,£1.35m,1.7428148757000004,in,Winter,Serie A,2016,2016/2017
8824,Torino FC,Iago Falque,27.0,Right Winger,AS Roma,£5.40m,6.9712595028000015,in,Winter,Serie A,2016,2016/2017
8825,Torino FC,Carlão,30.0,Centre-Back,APOEL Nicosia,£450Th.,0.5809382919,in,Winter,Serie A,2016,2016/2017
8826,Udinese Calcio,Kevin Lasagna,24.0,Striker,Carpi,£4.05m,5.2284446271,in,Winter,Serie A,2016,2016/2017
8827,Leicester City,Islam Slimani,28.0,Striker,Sporting CP,£27.45m,35.4372358059,in,Summer,Premier League,2016,2016/2017
8828,Leicester City,Ahmed Musa,23.0,Left Winger,CSKA Moscow,£17.55m,22.656593384100002,in,Summer,Premier League,2016,2016/2017
8829,Leicester City,Nampalys Mendy,24.0,Defensive Midfield,OGC Nice,£13.95m,18.009087048900003,in,Summer,Premier League,2016,2016/2017
8830,Leicester City,Bartosz Kapustka,19.0,Attacking Midfield,Cracovia,£4.50m,5.809382919000001,in,Summer,Premier League,2016,2016/2017
8831,Leicester City,Ron-Robert Zieler,27.0,Goalkeeper,Hannover 96,£3.15m,4.0665680433,in,Summer,Premier League,2016,2016/2017
8832,Arsenal FC,Granit Xhaka,23.0,Defensive Midfield,Bor. M'gladbach,£40.50m,52.284446271,in,Summer,Premier League,2016,2016/2017
8833,Arsenal FC,Shkodran Mustafi,24.0,Centre-Back,Valencia,£36.90m,47.6369399358,in,Summer,Premier League,2016,2016/2017
8834,Arsenal FC,Lucas Pérez,27.0,Striker,Dep. La Coruña,£18.00m,23.237531676000003,in,Summer,Premier League,2016,2016/2017
8835,Arsenal FC,Takuma Asano,21.0,Left Winger,Sanf. Hiroshima,£3.60m,4.6475063352,in,Summer,Premier League,2016,2016/2017
8836,Arsenal FC,Rob Holding,20.0,Centre-Back,Bolton,£2.70m,3.4856297514000008,in,Summer,Premier League,2016,2016/2017
8837,Tottenham Hotspur,Moussa Sissoko,27.0,Central Midfield,Newcastle,£31.50m,40.665680433,in,Summer,Premier League,2016,2016/2017
8838,Tottenham Hotspur,Vincent Janssen,22.0,Striker,AZ Alkmaar,£19.80m,25.561284843600003,in,Summer,Premier League,2016,2016/2017
8839,Tottenham Hotspur,Victor Wanyama,25.0,Defensive Midfield,Southampton,£12.96m,16.731022806720002,in,Summer,Premier League,2016,2016/2017
8840,Tottenham Hotspur,Georges-Kevin N'Koudou,21.0,Left Winger,Marseille,£9.90m,12.780642421800001,in,Summer,Premier League,2016,2016/2017
8841,Tottenham Hotspur,Pau López,21.0,Goalkeeper,Espanyol,Loan fee:£990Th.,1.2780642421800001,in,Summer,Premier League,2016,2016/2017
8842,Manchester City,John Stones,22.0,Centre-Back,Everton,£50.04m,64.60033805928,in,Summer,Premier League,2016,2016/2017
8843,Manchester City,Leroy Sané,20.0,Left Winger,FC Schalke 04,£46.80m,60.4175823576,in,Summer,Premier League,2016,2016/2017
8844,Manchester City,Ilkay Gündogan,25.0,Central Midfield,Bor. Dortmund,£24.30m,31.370667762600004,in,Summer,Premier League,2016,2016/2017
8845,Manchester City,Nolito,29.0,Left Winger,Celta de Vigo,£16.20m,20.9137785084,in,Summer,Premier League,2016,2016/2017
8846,Manchester City,Claudio Bravo,33.0,Goalkeeper,FC Barcelona,£16.20m,20.9137785084,in,Summer,Premier League,2016,2016/2017
8847,Manchester City,Marlos Moreno,19.0,Left Winger,Atl. Nacional,£4.95m,6.390321210900001,in,Summer,Premier League,2016,2016/2017
8848,Manchester City,Gero Rulli,24.0,Goalkeeper,Maldonado,£4.23m,5.460819943860001,in,Summer,Premier League,2016,2016/2017
8849,Manchester City,Oleksandr Zinchenko,19.0,Left-Back,Ufa,£1.80m,2.3237531676,in,Summer,Premier League,2016,2016/2017
8850,Manchester City,Pablo Marí,22.0,Centre-Back,Gimnàstic,£180Th.,0.23237531676,in,Summer,Premier League,2016,2016/2017
8851,Manchester United,Paul Pogba,23.0,Central Midfield,Juventus,£94.50m,121.997041299,in,Summer,Premier League,2016,2016/2017
8852,Manchester United,Henrikh Mkhitaryan,27.0,Attacking Midfield,Bor. Dortmund,£37.80m,48.7988165196,in,Summer,Premier League,2016,2016/2017
8853,Manchester United,Eric Bailly,22.0,Centre-Back,Villarreal,£34.20m,44.15131018440001,in,Summer,Premier League,2016,2016/2017
8854,Southampton FC,Sofiane Boufal,22.0,Left Winger,LOSC Lille,£16.83m,21.72709211706,in,Summer,Premier League,2016,2016/2017
8855,Southampton FC,Pierre-Emile Höjbjerg,20.0,Central Midfield,Bayern Munich,£13.50m,17.428148757000002,in,Summer,Premier League,2016,2016/2017
8856,Southampton FC,Nathan Redmond,22.0,Left Winger,Norwich,£12.15m,15.685333881300002,in,Summer,Premier League,2016,2016/2017
8857,Southampton FC,Alex McCarthy,26.0,Goalkeeper,Crystal Palace,£4.23m,5.460819943860001,in,Summer,Premier League,2016,2016/2017
8858,West Ham United,André Ayew,26.0,Left Winger,Swansea,£21.69m,28.001225669580005,in,Summer,Premier League,2016,2016/2017
8859,West Ham United,Manuel Lanzini,23.0,Attacking Midfield,Al-Jazira,£10.80m,13.942519005600003,in,Summer,Premier League,2016,2016/2017
8860,West Ham United,Arthur Masuaku,22.0,Left-Back,Olympiacos,£6.39m,8.24932374498,in,Summer,Premier League,2016,2016/2017
8861,West Ham United,Edimilson Fernandes,20.0,Central Midfield,FC Sion,£5.76m,7.43601013632,in,Summer,Premier League,2016,2016/2017
8862,West Ham United,Simone Zaza,25.0,Striker,Juventus,Loan fee:£4.50m,5.809382919000001,in,Summer,Premier League,2016,2016/2017
8863,West Ham United,Jonathan Calleri,22.0,Striker,Maldonado,Loan fee:£4.23m,5.460819943860001,in,Summer,Premier League,2016,2016/2017
8864,West Ham United,Gökhan Töre,24.0,Right Winger,Besiktas,Loan fee:£2.70m,3.4856297514000008,in,Summer,Premier League,2016,2016/2017
8865,Liverpool FC,Sadio Mané,24.0,Left Winger,Southampton,£37.08m,47.86931525256001,in,Summer,Premier League,2016,2016/2017
8866,Liverpool FC,Georginio Wijnaldum,25.0,Central Midfield,Newcastle,£24.75m,31.951606054500004,in,Summer,Premier League,2016,2016/2017
8867,Liverpool FC,Loris Karius,23.0,Goalkeeper,1.FSV Mainz 05,£5.58m,7.20363481956,in,Summer,Premier League,2016,2016/2017
8868,Liverpool FC,Ragnar Klavan,30.0,Centre-Back,FC Augsburg,£4.50m,5.809382919000001,in,Summer,Premier League,2016,2016/2017
8869,Stoke City,Joe Allen,26.0,Central Midfield,Liverpool,£13.95m,18.009087048900003,in,Summer,Premier League,2016,2016/2017
8870,Stoke City,Ramadan Sobhi,19.0,Left Winger,El Ahly,£4.50m,5.809382919000001,in,Summer,Premier League,2016,2016/2017
8871,Stoke City,Wilfried Bony,27.0,Striker,Man City,Loan fee:£2.12m,2.7368648418400006,in,Summer,Premier League,2016,2016/2017
8872,Stoke City,Ryan Sweeney,19.0,Centre-Back,AFC Wimbledon,£266Th.,0.3433990792120001,in,Summer,Premier League,2016,2016/2017
8873,Stoke City,Harry Souttar,17.0,Centre-Back,Dundee United,£207Th.,0.267231614274,in,Summer,Premier League,2016,2016/2017
8874,Chelsea FC,Michy Batshuayi,22.0,Striker,Marseille,£35.10m,45.313186768200005,in,Summer,Premier League,2016,2016/2017
8875,Chelsea FC,N'Golo Kanté,25.0,Central Midfield,Leicester,£32.22m,41.59518170004001,in,Summer,Premier League,2016,2016/2017
8876,Chelsea FC,David Luiz,29.0,Centre-Back,Paris SG,£31.50m,40.665680433,in,Summer,Premier League,2016,2016/2017
8877,Chelsea FC,Marcos Alonso,25.0,Left-Back,Fiorentina,£20.70m,26.723161427400004,in,Summer,Premier League,2016,2016/2017
8878,Everton FC,Yannick Bolasie,27.0,Left Winger,Crystal Palace,£26.01m,33.578233271820004,in,Summer,Premier League,2016,2016/2017
8879,Everton FC,Ashley Williams,31.0,Centre-Back,Swansea,£12.60m,16.2662721732,in,Summer,Premier League,2016,2016/2017
8880,Everton FC,Idrissa Gueye,26.0,Defensive Midfield,Aston Villa,£7.65m,9.875950962300001,in,Summer,Premier League,2016,2016/2017
8881,Everton FC,Dominic Calvert-Lewin,19.0,Striker,Sheffield Utd.,£1.62m,2.0913778508400003,in,Summer,Premier League,2016,2016/2017
8882,Everton FC,Maarten Stekelenburg,33.0,Goalkeeper,Fulham,£900Th.,1.1618765838,in,Summer,Premier League,2016,2016/2017
8883,Swansea City,Borja Bastón,23.0,Striker,Atlético Madrid,£16.20m,20.9137785084,in,Summer,Premier League,2016,2016/2017
8884,Swansea City,Fernando Llorente,31.0,Striker,Sevilla FC,£5.31m,6.855071844419999,in,Summer,Premier League,2016,2016/2017
8885,Swansea City,Alfie Mawson,22.0,Centre-Back,Barnsley FC,£5.31m,6.855071844419999,in,Summer,Premier League,2016,2016/2017
8886,Swansea City,Leroy Fer,26.0,Central Midfield,QPR,£5.04m,6.506508869280001,in,Summer,Premier League,2016,2016/2017
8887,Swansea City,Mike van der Hoorn,23.0,Centre-Back,Ajax,£2.25m,2.9046914595000004,in,Summer,Premier League,2016,2016/2017
8888,Watford FC,Isaac Success,20.0,Left Winger,Granada CF,£13.50m,17.428148757000002,in,Summer,Premier League,2016,2016/2017
8889,Watford FC,Roberto Pereyra,25.0,Attacking Midfield,Juventus,£12.15m,15.685333881300002,in,Summer,Premier League,2016,2016/2017
8890,Watford FC,Sven Kums,28.0,Defensive Midfield,KAA Gent,£8.10m,10.4568892542,in,Summer,Premier League,2016,2016/2017
8891,Watford FC,Daryl Janmaat,27.0,Right-Back,Newcastle,£8.01m,10.34070159582,in,Summer,Premier League,2016,2016/2017
8892,Watford FC,Christian Kabasele,25.0,Centre-Back,KRC Genk,£6.26m,8.08149712732,in,Summer,Premier League,2016,2016/2017
8893,Watford FC,Stefano Okaka,27.0,Striker,RSC Anderlecht,£5.40m,6.9712595028000015,in,Summer,Premier League,2016,2016/2017
8894,Watford FC,Younès Kaboul,30.0,Centre-Back,Sunderland,£3.60m,4.6475063352,in,Summer,Premier League,2016,2016/2017
8895,Watford FC,Brice Dja Djédjé,25.0,Defensive Midfield,Marseille,£3.24m,4.1827557016800005,in,Summer,Premier League,2016,2016/2017
8896,West Bromwich Albion,Nacer Chadli,27.0,Left Winger,Spurs,£13.68m,17.66052407376,in,Summer,Premier League,2016,2016/2017
8897,West Bromwich Albion,Matt Phillips,25.0,Right Winger,QPR,£5.85m,7.5521977947,in,Summer,Premier League,2016,2016/2017
8898,West Bromwich Albion,Allan Nyom,28.0,Right-Back,Watford,£4.23m,5.460819943860001,in,Summer,Premier League,2016,2016/2017
8899,Crystal Palace,Christian Benteke,25.0,Striker,Liverpool,£28.08m,36.250549414560005,in,Summer,Premier League,2016,2016/2017
8900,Crystal Palace,Andros Townsend,24.0,Right Winger,Newcastle,£14.04m,18.125274707280003,in,Summer,Premier League,2016,2016/2017
8901,Crystal Palace,James Tomkins,27.0,Centre-Back,West Ham,£10.53m,13.593956030460001,in,Summer,Premier League,2016,2016/2017
8902,Crystal Palace,Loïc Rémy,29.0,Striker,Chelsea,Loan fee:£900Th.,1.1618765838,in,Summer,Premier League,2016,2016/2017
8903,Crystal Palace,Jonathan Benteke,21.0,Striker,Zulte Waregem,£90Th.,0.11618765838,in,Summer,Premier League,2016,2016/2017
8904,AFC Bournemouth,Jordon Ibe,20.0,Right Winger,Liverpool,£16.20m,20.9137785084,in,Summer,Premier League,2016,2016/2017
8905,AFC Bournemouth,Lewis Cook,19.0,Central Midfield,Leeds,£6.30m,8.1331360866,in,Summer,Premier League,2016,2016/2017
8906,AFC Bournemouth,Lys Mousset,20.0,Striker,AC Le Havre,£5.85m,7.5521977947,in,Summer,Premier League,2016,2016/2017
8907,AFC Bournemouth,Brad Smith,22.0,Left-Back,Liverpool,£3.24m,4.1827557016800005,in,Summer,Premier League,2016,2016/2017
8908,AFC Bournemouth,Jack Wilshere,24.0,Central Midfield,Arsenal,Loan fee:£2.12m,2.7368648418400006,in,Summer,Premier League,2016,2016/2017
8909,AFC Bournemouth,Marc Wilson,28.0,Centre-Back,Stoke City,£2.07m,2.67231614274,in,Summer,Premier League,2016,2016/2017
8910,Sunderland AFC,Didier Ndong,22.0,Central Midfield,FC Lorient,£18.00m,23.237531676000003,in,Summer,Premier League,2016,2016/2017
8911,Sunderland AFC,Papy Djilobodji,27.0,Centre-Back,Chelsea,£8.55m,11.037827546100003,in,Summer,Premier League,2016,2016/2017
8912,Sunderland AFC,Paddy McNair,21.0,Defensive Midfield,Man Utd,£4.73m,6.106306934860001,in,Summer,Premier League,2016,2016/2017
8913,Sunderland AFC,Mika,25.0,Goalkeeper,Boavista,£1.35m,1.7428148757000004,in,Summer,Premier League,2016,2016/2017
8914,Sunderland AFC,Donald Love,21.0,Right-Back,Man Utd U23,£1.04m,1.3426129412800003,in,Summer,Premier League,2016,2016/2017
8915,Burnley FC,Jeff Hendrick,24.0,Central Midfield,Derby,£10.62m,13.710143688839999,in,Summer,Premier League,2016,2016/2017
8916,Burnley FC,Steven Defour,28.0,Central Midfield,RSC Anderlecht,£7.74m,9.992138620680002,in,Summer,Premier League,2016,2016/2017
8917,Burnley FC,Jóhann Berg Gudmundsson,25.0,Right Winger,Charlton,£2.70m,3.4856297514000008,in,Summer,Premier League,2016,2016/2017
8918,Burnley FC,Nick Pope,24.0,Goalkeeper,Charlton,£1.17m,1.51043955894,in,Summer,Premier League,2016,2016/2017
8919,Middlesbrough FC,Marten de Roon,25.0,Defensive Midfield,Atalanta,£9.45m,12.1997041299,in,Summer,Premier League,2016,2016/2017
8920,Middlesbrough FC,Adama Traoré,20.0,Right Winger,Aston Villa,£7.43m,9.59193668626,in,Summer,Premier League,2016,2016/2017
8921,Middlesbrough FC,Viktor Fischer,22.0,Left Winger,Ajax,£4.50m,5.809382919000001,in,Summer,Premier League,2016,2016/2017
8922,Middlesbrough FC,Antonio Barragán,29.0,Right-Back,Valencia,£2.43m,3.1370667762600006,in,Summer,Premier League,2016,2016/2017
8923,Middlesbrough FC,Fábio,26.0,Right-Back,Cardiff,£2.07m,2.67231614274,in,Summer,Premier League,2016,2016/2017
8924,Hull City,Ryan Mason,25.0,Central Midfield,Spurs,£13.86m,17.89289939052,in,Summer,Premier League,2016,2016/2017
8925,Hull City,David Marshall,31.0,Goalkeeper,Cardiff,£3.69m,4.7636939935800005,in,Summer,Premier League,2016,2016/2017
8926,Hull City,Will Keane,23.0,Striker,Man Utd,£1.08m,1.39425190056,in,Summer,Premier League,2016,2016/2017
8927,Hull City,James Weir,21.0,Left Winger,Man Utd U23,£180Th.,0.23237531676,in,Summer,Premier League,2016,2016/2017
8928,Leicester City,Wilfred Ndidi,20.0,Defensive Midfield,KRC Genk,£15.84m,20.449027874880002,in,Winter,Premier League,2016,2016/2017
8929,Arsenal FC,Cohen Bramall,20.0,Left-Back,Hednesford,£36Th.,0.04647506335200001,in,Winter,Premier League,2016,2016/2017
8930,Manchester City,Gabriel Jesus,19.0,Striker,Palmeiras,£28.80m,37.1800506816,in,Winter,Premier League,2016,2016/2017
8931,Southampton FC,Manolo Gabbiadini,25.0,Striker,SSC Napoli,£15.30m,19.751901924600002,in,Winter,Premier League,2016,2016/2017
8932,West Ham United,Robert Snodgrass,29.0,Right Winger,Hull City,£10.80m,13.942519005600003,in,Winter,Premier League,2016,2016/2017
8933,West Ham United,José Fonte,33.0,Centre-Back,Southampton,£8.28m,10.68926457096,in,Winter,Premier League,2016,2016/2017
8934,Stoke City,Saido Berahino,23.0,Striker,West Brom,£12.51m,16.15008451482,in,Winter,Premier League,2016,2016/2017
8935,Stoke City,Lee Grant,33.0,Goalkeeper,Derby,£1.35m,1.7428148757000004,in,Winter,Premier League,2016,2016/2017
8936,Everton FC,Morgan Schneiderlin,27.0,Defensive Midfield,Man Utd,£20.70m,26.723161427400004,in,Winter,Premier League,2016,2016/2017
8937,Everton FC,Ademola Lookman,19.0,Left Winger,Charlton,£7.92m,10.224513937440001,in,Winter,Premier League,2016,2016/2017
8938,Swansea City,Jordan Ayew,25.0,Striker,Aston Villa,£5.22m,6.73888418604,in,Winter,Premier League,2016,2016/2017
8939,Swansea City,Tom Carroll,24.0,Central Midfield,Spurs,£4.68m,6.04175823576,in,Winter,Premier League,2016,2016/2017
8940,Swansea City,Luciano Narsingh,26.0,Right Winger,PSV Eindhoven,£4.14m,5.34463228548,in,Winter,Premier League,2016,2016/2017
8941,Swansea City,Martin Olsson,28.0,Left-Back,Norwich,£4.14m,5.34463228548,in,Winter,Premier League,2016,2016/2017
8942,Watford FC,Mauro Zárate,29.0,Striker,Fiorentina,£2.48m,3.2016154753600006,in,Winter,Premier League,2016,2016/2017
8943,Watford FC,M'Baye Niang,22.0,Striker,AC Milan,Loan fee:£675Th.,0.8714074378500002,in,Winter,Premier League,2016,2016/2017
8944,West Bromwich Albion,Jake Livermore,27.0,Defensive Midfield,Hull City,£10.35m,13.361580713700002,in,Winter,Premier League,2016,2016/2017
8945,Crystal Palace,Luka Milivojevic,25.0,Defensive Midfield,Olympiacos,£13.59m,17.54433641538,in,Winter,Premier League,2016,2016/2017
8946,Crystal Palace,Jeffrey Schlupp,24.0,Left Winger,Leicester,£12.42m,16.033896856440002,in,Winter,Premier League,2016,2016/2017
8947,Crystal Palace,Patrick van Aanholt,26.0,Left-Back,Sunderland,£9.45m,12.1997041299,in,Winter,Premier League,2016,2016/2017
8948,Crystal Palace,Mamadou Sakho,26.0,Centre-Back,Liverpool,Loan fee:£2.07m,2.67231614274,in,Winter,Premier League,2016,2016/2017
8949,AFC Bournemouth,Aaron Ramsdale,18.0,Goalkeeper,Sheffield Utd.,£846Th.,1.092163988772,in,Winter,Premier League,2016,2016/2017
8950,Sunderland AFC,Darron Gibson,29.0,Central Midfield,Everton,£2.25m,2.9046914595000004,in,Winter,Premier League,2016,2016/2017
8951,Sunderland AFC,Bryan Oviedo,26.0,Left-Back,Everton,£1.80m,2.3237531676,in,Winter,Premier League,2016,2016/2017
8952,Burnley FC,Robbie Brady,25.0,Left Winger,Norwich,£13.59m,17.54433641538,in,Winter,Premier League,2016,2016/2017
8953,Burnley FC,Ashley Westwood,26.0,Defensive Midfield,Aston Villa,£5.22m,6.73888418604,in,Winter,Premier League,2016,2016/2017
8954,Middlesbrough FC,Rudy Gestede,28.0,Striker,Aston Villa,£6.39m,8.24932374498,in,Winter,Premier League,2016,2016/2017
8955,Middlesbrough FC,Patrick Bamford,23.0,Striker,Chelsea,£6.21m,8.016948428220001,in,Winter,Premier League,2016,2016/2017
8956,Middlesbrough FC,Adlène Guédioura,31.0,Central Midfield,Watford,£4.68m,6.04175823576,in,Winter,Premier League,2016,2016/2017
8957,Hull City,Kamil Grosicki,28.0,Left Winger,Stade Rennais,£8.10m,10.4568892542,in,Winter,Premier League,2016,2016/2017
8958,Hull City,Markus Henriksen,24.0,Central Midfield,AZ Alkmaar,£4.77m,6.15794589414,in,Winter,Premier League,2016,2016/2017
8959,Hull City,Evandro,30.0,Attacking Midfield,FC Porto,£2.25m,2.9046914595000004,in,Winter,Premier League,2016,2016/2017
8960,Hull City,Andrea Ranocchia,28.0,Centre-Back,Inter,Loan fee:£1.17m,1.51043955894,in,Winter,Premier League,2016,2016/2017
8961,Hull City,Omar Elabdellaoui,25.0,Right-Back,Olympiacos,Loan fee:£900Th.,1.1618765838,in,Winter,Premier League,2016,2016/2017
8962,Paris Saint-Germain,Grzegorz Krychowiak,26.0,Defensive Midfield,Sevilla FC,£24.75m,31.951606054500004,in,Summer,Ligue 1,2016,2016/2017
8963,Paris Saint-Germain,Jesé,23.0,Left Winger,Real Madrid,£22.50m,29.046914595000004,in,Summer,Ligue 1,2016,2016/2017
8964,Paris Saint-Germain,Giovani Lo Celso,20.0,Central Midfield,CA Rosario,£9.00m,11.618765838000002,in,Summer,Ligue 1,2016,2016/2017
8965,Paris Saint-Germain,Thomas Meunier,24.0,Right-Back,Club Brugge,£5.40m,6.9712595028000015,in,Summer,Ligue 1,2016,2016/2017
8966,Olympique Lyon,Emanuel Mammana,20.0,Centre-Back,River Plate,£7.65m,9.875950962300001,in,Summer,Ligue 1,2016,2016/2017
8967,Olympique Lyon,Jean-Philippe Mateta,19.0,Striker,LB Châteauroux,£3.69m,4.7636939935800005,in,Summer,Ligue 1,2016,2016/2017
8968,AS Monaco,Djibril Sidibé,23.0,Right-Back,LOSC Lille,£13.50m,17.428148757000002,in,Summer,Ligue 1,2016,2016/2017
8969,AS Monaco,Benjamin Mendy,21.0,Left-Back,Marseille,£11.70m,15.1043955894,in,Summer,Ligue 1,2016,2016/2017
8970,AS Monaco,Kamil Glik,28.0,Centre-Back,Torino,£9.90m,12.780642421800001,in,Summer,Ligue 1,2016,2016/2017
8971,AS Monaco,Youssef Aït Bennasser,19.0,Central Midfield,AS Nancy,£2.70m,3.4856297514000008,in,Summer,Ligue 1,2016,2016/2017
8972,OGC Nice,Wylan Cyprien,21.0,Central Midfield,Lens,£4.50m,5.809382919000001,in,Summer,Ligue 1,2016,2016/2017
8973,OGC Nice,Dante,32.0,Centre-Back,VfL Wolfsburg,£2.25m,2.9046914595000004,in,Summer,Ligue 1,2016,2016/2017
8974,OGC Nice,Arnaud Lusamba,19.0,Central Midfield,AS Nancy,£2.25m,2.9046914595000004,in,Summer,Ligue 1,2016,2016/2017
8975,OGC Nice,Dalbert,22.0,Left-Back,Vit. Guimarães,£1.80m,2.3237531676,in,Summer,Ligue 1,2016,2016/2017
8976,OGC Nice,Arnaud Souquet,24.0,Right-Back,Dijon,£1.13m,1.45880059966,in,Summer,Ligue 1,2016,2016/2017
8977,OGC Nice,Paul Baysse,28.0,Centre-Back,Saint-Étienne,£450Th.,0.5809382919,in,Summer,Ligue 1,2016,2016/2017
8978,LOSC Lille,Éder,28.0,Striker,Swansea,£4.05m,5.2284446271,in,Summer,Ligue 1,2016,2016/2017
8979,AS Saint-Étienne,Bryan Dabo,24.0,Central Midfield,Montpellier,£3.60m,4.6475063352,in,Summer,Ligue 1,2016,2016/2017
8980,AS Saint-Étienne,Léo Lacroix,24.0,Centre-Back,FC Sion,£2.70m,3.4856297514000008,in,Summer,Ligue 1,2016,2016/2017
