,year,country,protesterdemand1,protesterdemand2,participants,freedom,counts
3545,2008,Belgium,"price increases, tax policy",,1000.0,F,1
3547,2011,Belgium,"political behavior, process",,34000.0,F,1
3551,2015,Belgium,"price increases, tax policy",,1000.0,F,1
3552,2016,Belgium,"political behavior, process",,5000.0,F,1
3556,2016,Belgium,"political behavior, process",,50000.0,F,1
3559,2018,Belgium,"political behavior, process",,1000.0,F,1
3560,2018,Belgium,"political behavior, process",,1000.0,F,1
3561,2018,Belgium,"political behavior, process",,5500.0,F,1
3562,2019,Belgium,"political behavior, process",,1000.0,F,1
3563,2019,Belgium,"political behavior, process",,1000.0,F,1
3564,2019,Belgium,"political behavior, process",,1000.0,F,1
3565,2019,Belgium,"political behavior, process",,100000.0,F,1
3566,2019,Belgium,"political behavior, process",,10000.0,F,1
3569,1997,Luxembourg,labor wage dispute,,15000.0,F,1
3571,1990,France,social restrictions,,8000.0,F,1
3572,1990,France,social restrictions,,200000.0,F,1
3579,1990,France,labor wage dispute,"political behavior, process",200000.0,F,1
3583,1990,France,labor wage dispute,"political behavior, process",12000.0,F,1
3584,1990,France,labor wage dispute,"political behavior, process",2000.0,F,1
3586,1990,France,labor wage dispute,"political behavior, process",1000.0,F,1
3589,1990,France,"political behavior, process",,1000.0,F,1
3591,1990,France,"political behavior, process",,100000.0,F,1
3592,1990,France,"political behavior, process",,30000.0,F,1
3593,1990,France,"political behavior, process",,30000.0,F,1
3594,1990,France,"political behavior, process",,30000.0,F,1
3595,1990,France,"political behavior, process",,150000.0,F,1
3597,1991,France,"political behavior, process",,50000.0,F,1
3598,1991,France,"political behavior, process",,1000.0,F,1
3599,1991,France,"political behavior, process",,10000.0,F,1
3610,1991,France,"price increases, tax policy","political behavior, process",200000.0,F,1
3615,1991,France,labor wage dispute,police brutality,20000.0,F,1
3618,1991,France,labor wage dispute,,1000.0,F,1
3619,1991,France,labor wage dispute,,500000.0,F,1
3621,1992,France,"political behavior, process",,100000.0,F,1
3627,1992,France,"political behavior, process",,1000.0,F,1
3636,1992,France,"price increases, tax policy","political behavior, process",2500.0,F,1
3641,1992,France,labor wage dispute,"political behavior, process",1000.0,F,1
3643,1992,France,"political behavior, process",,2000.0,F,1
3652,1992,France,"political behavior, process",labor wage dispute,3000.0,F,1
3653,1992,France,"political behavior, process",labor wage dispute,1000.0,F,1
3654,1992,France,"political behavior, process",labor wage dispute,2000.0,F,1
3655,1992,France,"political behavior, process",,1300.0,F,1
3658,1993,France,"political behavior, process","price increases, tax policy",1000.0,F,1
3667,1993,France,"political behavior, process",,20000.0,F,1
3669,1993,France,"political behavior, process",labor wage dispute,10000.0,F,1
3673,1993,France,labor wage dispute,,3000.0,F,1
3675,1993,France,labor wage dispute,,1000.0,F,1
3677,1993,France,"political behavior, process",labor wage dispute,10000.0,F,1
3678,1993,France,labor wage dispute,,1000.0,F,1
3682,1994,France,"political behavior, process",,1000000.0,F,1
3684,1994,France,"price increases, tax policy","political behavior, process",2000.0,F,1
3685,1994,France,"political behavior, process",,1000.0,F,1
3686,1994,France,"political behavior, process",labor wage dispute,1000.0,F,1
3687,1994,France,"political behavior, process",labor wage dispute,200000.0,F,1
3688,1994,France,"political behavior, process",labor wage dispute,200000.0,F,1
3690,1994,France,"political behavior, process",labor wage dispute,1000.0,F,1
3693,1994,France,"political behavior, process",labor wage dispute,60900.0,F,1
3694,1994,France,"political behavior, process",labor wage dispute,10000.0,F,1
3697,1994,France,"political behavior, process",,60000.0,F,1
3698,1994,France,"political behavior, process",,100000.0,F,1
3699,1994,France,"political behavior, process",removal of politician,3000.0,F,1
3702,1995,France,labor wage dispute,"political behavior, process",90000.0,F,1
3704,1995,France,"political behavior, process",,15000.0,F,1
3707,1995,France,"political behavior, process",,10000.0,F,1
3708,1995,France,"political behavior, process",,10000.0,F,1
3709,1995,France,"political behavior, process",labor wage dispute,40000.0,F,1
3710,1995,France,"political behavior, process",,10000.0,F,1
3711,1995,France,"political behavior, process",,1000.0,F,1
3718,1995,France,"political behavior, process",,1000.0,F,1
3720,1995,France,"price increases, tax policy",labor wage dispute,10000.0,F,1
3724,1995,France,"political behavior, process",labor wage dispute,100000.0,F,1
3725,1995,France,"price increases, tax policy",,3000.0,F,1
3726,1995,France,"political behavior, process",,20000.0,F,1
3727,1995,France,"price increases, tax policy","political behavior, process",1000.0,F,1
3728,1995,France,"political behavior, process",labor wage dispute,100000.0,F,1
3729,1995,France,labor wage dispute,"political behavior, process",300000.0,F,1
3730,1995,France,social restrictions,,30000.0,F,1
3731,1995,France,labor wage dispute,"political behavior, process",300000.0,F,1
3733,1995,France,labor wage dispute,"political behavior, process",500000.0,F,1
3734,1995,France,labor wage dispute,"political behavior, process",100000.0,F,1
3735,1995,France,labor wage dispute,,4000.0,F,1
3736,1995,France,labor wage dispute,"political behavior, process",2000000.0,F,1
3737,1995,France,labor wage dispute,"political behavior, process",100000.0,F,1
3739,1996,France,"political behavior, process",,14000.0,F,1
3743,1996,France,labor wage dispute,,12000.0,F,1
3744,1996,France,"political behavior, process","price increases, tax policy",1000.0,F,1
3748,1996,France,"political behavior, process",,1000.0,F,1
3751,1996,France,"political behavior, process",,10000.0,F,1
3752,1996,France,"political behavior, process","price increases, tax policy",15000.0,F,1
3753,1996,France,"political behavior, process","price increases, tax policy",1000.0,F,1
3755,1996,France,"political behavior, process",labor wage dispute,10000.0,F,1
3757,1996,France,"political behavior, process",labor wage dispute,1000.0,F,1
3758,1996,France,"price increases, tax policy",,1000.0,F,1
3759,1996,France,"political behavior, process","price increases, tax policy",100000.0,F,1
3763,1996,France,labor wage dispute,,50000.0,F,1
3765,1996,France,labor wage dispute,,1000.0,F,1
3766,1997,France,"political behavior, process",labor wage dispute,20000.0,F,1
3767,1997,France,"political behavior, process",labor wage dispute,1000.0,F,1
3768,1997,France,labor wage dispute,,1000.0,F,1
3769,1997,France,"political behavior, process",,20000.0,F,1
3771,1997,France,"political behavior, process",,1000.0,F,1
3772,1997,France,labor wage dispute,,10000.0,F,1
3773,1997,France,"political behavior, process",,35000.0,F,1
3774,1997,France,"political behavior, process",,1000.0,F,1
3778,1997,France,labor wage dispute,"political behavior, process",80000.0,F,1
3781,1997,France,"political behavior, process",labor wage dispute,10000.0,F,1
3789,1998,France,labor wage dispute,"political behavior, process",1000.0,F,1
3790,1998,France,"political behavior, process",labor wage dispute,1000.0,F,1
3791,1998,France,"political behavior, process",labor wage dispute,10000.0,F,1
3792,1998,France,"political behavior, process",labor wage dispute,10000.0,F,1
3793,1998,France,"political behavior, process",,4000.0,F,1
3794,1998,France,"political behavior, process",labor wage dispute,1100.0,F,1
3795,1998,France,"political behavior, process",labor wage dispute,10000.0,F,1
3796,1998,France,"political behavior, process",,150000.0,F,1
3797,1998,France,"political behavior, process",,1000.0,F,1
3799,1998,France,"political behavior, process",,10000.0,F,1
3804,1998,France,social restrictions,"political behavior, process",35000.0,F,1
3807,1998,France,"political behavior, process",,10000.0,F,1
3808,1998,France,"political behavior, process",,100000.0,F,1
3809,1998,France,"political behavior, process",,500000.0,F,1
3810,1998,France,"political behavior, process",,300000.0,F,1
3811,1998,France,"price increases, tax policy",,1000.0,F,1
3812,1998,France,"political behavior, process",,2600.0,F,1
3814,1998,France,"price increases, tax policy","political behavior, process",1000.0,F,1
3818,1999,France,removal of politician,,4000.0,F,1
3822,1999,France,labor wage dispute,,20000.0,F,1
3823,1999,France,"price increases, tax policy",,1000.0,F,1
3825,1999,France,"political behavior, process",,1000.0,F,1
3827,2000,France,labor wage dispute,,1500.0,F,1
3829,2000,France,removal of politician,"political behavior, process",10000.0,F,1
3832,2000,France,"political behavior, process",,20000.0,F,1
3835,2000,France,"price increases, tax policy",,10000.0,F,1
3837,2000,France,"political behavior, process",,4000.0,F,1
3838,2000,France,"political behavior, process",,60000.0,F,1
3839,2001,France,"political behavior, process",,6700.0,F,1
3840,2001,France,"political behavior, process",,7000.0,F,1
3841,2002,France,labor wage dispute,,1000.0,F,1
3846,2002,France,labor wage dispute,,40000.0,F,1
3849,2002,France,labor wage dispute,,150000.0,F,1
3850,2003,France,labor wage dispute,,32000.0,F,1
3851,2003,France,labor wage dispute,,700000.0,F,1
3852,2003,France,labor wage dispute,,5000.0,F,1
3853,2003,France,labor wage dispute,,400000.0,F,1
3854,2003,France,labor wage dispute,,300000.0,F,1
3855,2003,France,labor wage dispute,,200000.0,F,1
3857,2003,France,"price increases, tax policy",,1000.0,F,1
3859,2003,France,"price increases, tax policy",,1000.0,F,1
3861,2003,France,social restrictions,,1000.0,F,1
3862,2004,France,social restrictions,,15000.0,F,1
3864,2004,France,labor wage dispute,,1000.0,F,1
3865,2004,France,labor wage dispute,,1500.0,F,1
3867,2005,France,labor wage dispute,,300000.0,F,1
3868,2005,France,"political behavior, process",,10000.0,F,1
3869,2005,France,labor wage dispute,,570000.0,F,1
3871,2005,France,"price increases, tax policy",,1000.0,F,1
3873,2005,France,labor wage dispute,,1000.0,F,1
3875,2006,France,"political behavior, process",labor wage dispute,400000.0,F,1
3877,2006,France,"political behavior, process",labor wage dispute,100000.0,F,1
3878,2006,France,"political behavior, process",labor wage dispute,250000.0,F,1
3879,2006,France,"political behavior, process",labor wage dispute,500000.0,F,1
3880,2006,France,"political behavior, process",labor wage dispute,1000.0,F,1
3881,2006,France,"political behavior, process",labor wage dispute,300000.0,F,1
3883,2006,France,"political behavior, process",labor wage dispute,1000000.0,F,1
3884,2006,France,"political behavior, process",labor wage dispute,1000000.0,F,1
3885,2006,France,"political behavior, process",labor wage dispute,1000.0,F,1
3889,2007,France,labor wage dispute,,10000.0,F,1
3890,2007,France,labor wage dispute,,15000.0,F,1
3891,2007,France,"political behavior, process",,1000.0,F,1
3893,2008,France,"political behavior, process",labor wage dispute,18000.0,F,1
3896,2008,France,labor wage dispute,,375000.0,F,1
3899,2009,France,"political behavior, process",labor wage dispute,1000000.0,F,1
3902,2009,France,labor wage dispute,"price increases, tax policy",1200000.0,F,1
3904,2009,France,"political behavior, process",labor wage dispute,465000.0,F,1
3905,2009,France,"price increases, tax policy",,12000.0,F,1
3908,2010,France,labor wage dispute,,400000.0,F,1
3909,2010,France,labor wage dispute,,80000.0,F,1
3910,2010,France,labor wage dispute,,100000.0,F,1
3911,2010,France,labor wage dispute,,1200000.0,F,1
3912,2010,France,labor wage dispute,,825000.0,F,1
3914,2010,France,labor wage dispute,,1100000.0,F,1
3915,2010,France,labor wage dispute,,12000.0,F,1
3916,2010,France,labor wage dispute,,1000.0,F,1
3917,2010,France,labor wage dispute,,560000.0,F,1
3918,2011,France,"political behavior, process",,1000.0,F,1
3920,2012,France,"political behavior, process",,1000.0,F,1
3924,2012,France,social restrictions,,1000.0,F,1
3925,2012,France,"price increases, tax policy",labor wage dispute,1000.0,F,1
3926,2012,France,social restrictions,,1000.0,F,1
3927,2013,France,social restrictions,,340000.0,F,1
3928,2013,France,social restrictions,,125000.0,F,1
3929,2013,France,"political behavior, process",labor wage dispute,1000.0,F,1
3930,2013,France,labor wage dispute,,10000.0,F,1
3931,2013,France,social restrictions,,300000.0,F,1
3932,2013,France,social restrictions,,45000.0,F,1
3934,2013,France,"political behavior, process",,30000.0,F,1
3935,2013,France,social restrictions,,35000.0,F,1
3936,2013,France,social restrictions,,150000.0,F,1
3939,2013,France,"political behavior, process",,7000.0,F,1
3940,2013,France,"price increases, tax policy",,1000.0,F,1
3941,2013,France,"price increases, tax policy",,1000.0,F,1
3943,2014,France,"political behavior, process",,17000.0,F,1
3947,2014,France,"political behavior, process","price increases, tax policy",25000.0,F,1
3952,2014,France,"political behavior, process",,1000.0,F,1
3957,2014,France,"political behavior, process","price increases, tax policy",1000.0,F,1
3959,2014,France,"political behavior, process",labor wage dispute,1000.0,F,1
3961,2015,France,labor wage dispute,,3000.0,F,1
3964,2015,France,"political behavior, process",labor wage dispute,1000.0,F,1
3970,2015,France,labor wage dispute,,1365.0,F,1
3973,2015,France,"political behavior, process",,4000.0,F,1
3975,2016,France,"political behavior, process",,2000.0,F,1
3976,2016,France,"political behavior, process",labor wage dispute,130000.0,F,1
3977,2016,France,"political behavior, process",,2000.0,F,1
3978,2016,France,"political behavior, process",,1000.0,F,1
3986,2016,France,labor wage dispute,,400000.0,F,1
3987,2016,France,labor wage dispute,,150000.0,F,1
3988,2016,France,labor wage dispute,,1200000.0,F,1
3990,2016,France,labor wage dispute,,1000.0,F,1
3992,2016,France,"political behavior, process",labor wage dispute,1000.0,F,1
3999,2016,France,"political behavior, process",labor wage dispute,150000.0,F,1
4003,2016,France,"political behavior, process",labor wage dispute,1000.0,F,1
4004,2016,France,"political behavior, process",labor wage dispute,100000.0,F,1
4006,2016,France,"political behavior, process",labor wage dispute,60000.0,F,1
4008,2016,France,"political behavior, process",social restrictions,60000.0,F,1
4012,2016,France,"political behavior, process",,1000.0,F,1
4013,2016,France,"political behavior, process",social restrictions,1000.0,F,1
4029,2017,France,"political behavior, process",,2000.0,F,1
4031,2017,France,labor wage dispute,,140000.0,F,1
4032,2017,France,labor wage dispute,,1000.0,F,1
4037,2017,France,labor wage dispute,,223000.0,F,1
4039,2017,France,labor wage dispute,,1000.0,F,1
4045,2018,France,labor wage dispute,,200000.0,F,1
4053,2018,France,labor wage dispute,"political behavior, process",119500.0,F,1
4056,2018,France,labor wage dispute,"political behavior, process",14000.0,F,1
4058,2018,France,"political behavior, process",,1000.0,F,1
4061,2018,France,"political behavior, process",,1500.0,F,1
4062,2018,France,labor wage dispute,"political behavior, process",6000.0,F,1
4064,2018,France,labor wage dispute,,16000.0,F,1
4067,2018,France,"price increases, tax policy",labor wage dispute,1000.0,F,1
4071,2018,France,land farm issue,,10000.0,F,1
4072,2018,France,"price increases, tax policy","political behavior, process",250000.0,F,1
4073,2018,France,"price increases, tax policy","political behavior, process",20000.0,F,1
4075,2018,France,"price increases, tax policy","political behavior, process",80000.0,F,1
4076,2018,France,"price increases, tax policy","political behavior, process",75000.0,F,1
4078,2018,France,"price increases, tax policy","political behavior, process",125000.0,F,1
4080,2018,France,"price increases, tax policy","political behavior, process",66000.0,F,1
4082,2018,France,"price increases, tax policy","political behavior, process",10000.0,F,1
4083,2018,France,"price increases, tax policy","political behavior, process",29000.0,F,1
4084,2019,France,"price increases, tax policy","political behavior, process",50000.0,F,1
4085,2019,France,"price increases, tax policy","political behavior, process",32000.0,F,1
4086,2019,France,"price increases, tax policy","political behavior, process",84000.0,F,1
4087,2019,France,"price increases, tax policy","political behavior, process",69000.0,F,1
4088,2019,France,"political behavior, process",police brutality,10000.0,F,1
4089,2019,France,"price increases, tax policy","political behavior, process",58000.0,F,1
4090,2019,France,"price increases, tax policy","political behavior, process",80000.0,F,1
4091,2019,France,"price increases, tax policy","political behavior, process",51000.0,F,1
4093,2019,France,"political behavior, process",,20000.0,F,1
4094,2019,France,"political behavior, process",,100000.0,F,1
4095,2019,France,"price increases, tax policy","political behavior, process",30000.0,F,1
4096,2019,France,"price increases, tax policy","political behavior, process",40000.0,F,1
4097,1990,Switzerland,"political behavior, process",,30000.0,F,1
4098,1991,Switzerland,social restrictions,,1000.0,F,1
4099,1997,Switzerland,"political behavior, process",,5000.0,F,1
4101,2019,Switzerland,"political behavior, process",,1000.0,F,1
4106,1991,Spain,"political behavior, process",,10000.0,F,1
4107,1991,Spain,"political behavior, process",,20000.0,F,1
4111,1992,Spain,labor wage dispute,"political behavior, process",1000000.0,F,1
4114,1993,Spain,labor wage dispute,"political behavior, process",1000000.0,F,1
4115,1994,Spain,land farm issue,,5000.0,F,1
4121,1995,Spain,land farm issue,"political behavior, process",25000.0,F,1
4124,1996,Spain,"political behavior, process","price increases, tax policy",2000000.0,F,1
4126,1996,Spain,labor wage dispute,,200000.0,F,1
4127,1997,Spain,"political behavior, process",land farm issue,50000.0,F,1
4128,1997,Spain,"political behavior, process",,18000.0,F,1
4130,1997,Spain,"political behavior, process",,10000.0,F,1
4131,1999,Spain,labor wage dispute,,2000.0,F,1
4132,1999,Spain,"political behavior, process",,5000.0,F,1
4133,1999,Spain,"political behavior, process",,4000.0,F,1
4134,2000,Spain,"price increases, tax policy",,100000.0,F,1
4135,2000,Spain,"price increases, tax policy",,1000.0,F,1
4136,2000,Spain,labor wage dispute,,10000.0,F,1
4138,2001,Spain,"political behavior, process",,1000.0,F,1
4139,2001,Spain,"political behavior, process",,1000.0,F,1
4140,2001,Spain,"political behavior, process",,5000.0,F,1
4141,2001,Spain,"political behavior, process",,100000.0,F,1
4142,2002,Spain,labor wage dispute,,100000.0,F,1
4143,2002,Spain,labor wage dispute,,1000.0,F,1
4144,2002,Spain,labor wage dispute,,10000.0,F,1
4146,2002,Spain,"political behavior, process",,200000.0,F,1
4147,2003,Spain,"political behavior, process",,1000.0,F,1
4148,2003,Spain,"political behavior, process",,800000.0,F,1
4149,2003,Spain,"political behavior, process",,100000.0,F,1
4150,2004,Spain,"political behavior, process",,1000.0,F,1
4152,2005,Spain,"political behavior, process",,300000.0,F,1
4153,2005,Spain,social restrictions,,500000.0,F,1
4155,2005,Spain,"political behavior, process",,100000.0,F,1
4156,2007,Spain,"political behavior, process",,200000.0,F,1
4157,2007,Spain,"political behavior, process",,75000.0,F,1
4158,2007,Spain,"political behavior, process",,350000.0,F,1
4159,2008,Spain,"price increases, tax policy",,1000.0,F,1
4160,2008,Spain,"price increases, tax policy",,10000.0,F,1
4161,2009,Spain,labor wage dispute,,2000.0,F,1
4162,2009,Spain,"political behavior, process",,10000.0,F,1
4163,2009,Spain,"political behavior, process",labor wage dispute,40000.0,F,1
4167,2011,Spain,"political behavior, process",,10000.0,F,1
4168,2011,Spain,"political behavior, process",,1000.0,F,1
4169,2011,Spain,"political behavior, process",,5000.0,F,1
4170,2012,Spain,"political behavior, process",,1000.0,F,1
4171,2012,Spain,labor wage dispute,"political behavior, process",100000.0,F,1
4173,2012,Spain,labor wage dispute,,30000.0,F,1
4174,2012,Spain,labor wage dispute,"political behavior, process",100000.0,F,1
4175,2012,Spain,"political behavior, process",labor wage dispute,10000.0,F,1
4176,2012,Spain,"political behavior, process",labor wage dispute,10000.0,F,1
4177,2012,Spain,"political behavior, process",labor wage dispute,72000.0,F,1
4178,2012,Spain,"political behavior, process",,1000.0,F,1
4179,2012,Spain,"price increases, tax policy",,10000.0,F,1
4180,2012,Spain,"price increases, tax policy","political behavior, process",10000.0,F,1
4181,2012,Spain,labor wage dispute,,1000.0,F,1
4183,2012,Spain,"political behavior, process",,600000.0,F,1
4184,2012,Spain,"political behavior, process",,10000.0,F,1
4185,2012,Spain,"political behavior, process",,10000.0,F,1
4187,2012,Spain,"political behavior, process",,100000.0,F,1
4188,2012,Spain,social restrictions,,1000.0,F,1
4189,2012,Spain,"political behavior, process",,1000.0,F,1
4190,2013,Spain,"political behavior, process",,1000.0,F,1
4192,2013,Spain,"political behavior, process",,1000.0,F,1
4193,2013,Spain,"political behavior, process",,400000.0,F,1
4194,2013,Spain,"political behavior, process",,1000.0,F,1
4196,2014,Spain,"price increases, tax policy","political behavior, process",1000.0,F,1
4198,2014,Spain,"political behavior, process",,100000.0,F,1
4199,2014,Spain,"political behavior, process",,10000.0,F,1
4203,2014,Spain,"political behavior, process",,1000.0,F,1
4204,2015,Spain,"political behavior, process",,500000.0,F,1
4207,2016,Spain,"political behavior, process",,1000.0,F,1
4208,2016,Spain,"political behavior, process",,1000.0,F,1
4209,2016,Spain,"political behavior, process",,1000.0,F,1
4210,2016,Spain,"political behavior, process",,100000.0,F,1
4211,2016,Spain,removal of politician,,1000.0,F,1
4212,2016,Spain,labor wage dispute,,1000.0,F,1
4213,2017,Spain,police brutality,,10000.0,F,1
4214,2017,Spain,"political behavior, process",,40000.0,F,1
4215,2017,Spain,"political behavior, process",,160000.0,F,1
4216,2017,Spain,"political behavior, process",,1000.0,F,1
4217,2017,Spain,social restrictions,,100000.0,F,1
4218,2017,Spain,"political behavior, process",,500000.0,F,1
4219,2017,Spain,"political behavior, process",,100000.0,F,1
4220,2017,Spain,police brutality,"political behavior, process",40000.0,F,1
4221,2017,Spain,"political behavior, process",,1000.0,F,1
4222,2017,Spain,"political behavior, process",,1000.0,F,1
4223,2017,Spain,"political behavior, process",,1000.0,F,1
4224,2017,Spain,"political behavior, process",,1000.0,F,1
4225,2017,Spain,"political behavior, process",,2500.0,F,1
4226,2017,Spain,police brutality,"political behavior, process",100000.0,F,1
4227,2017,Spain,"political behavior, process",,350000.0,F,1
4228,2017,Spain,"political behavior, process",,1000.0,F,1
4229,2017,Spain,police brutality,"political behavior, process",200000.0,F,1
4230,2017,Spain,police brutality,"political behavior, process",450000.0,F,1
4231,2017,Spain,"political behavior, process",,10000.0,F,1
4232,2017,Spain,"political behavior, process",,300000.0,F,1
4233,2017,Spain,police brutality,"political behavior, process",10000.0,F,1
4234,2017,Spain,police brutality,"political behavior, process",8000.0,F,1
4235,2017,Spain,police brutality,"political behavior, process",750000.0,F,1
4238,2018,Spain,police brutality,"political behavior, process",3000.0,F,1
4240,2018,Spain,"political behavior, process",,15000.0,F,1
4241,2018,Spain,social restrictions,,10000.0,F,1
4243,2018,Spain,police brutality,"political behavior, process",10000.0,F,1
4244,2018,Spain,social restrictions,"political behavior, process",300000.0,F,1
4245,2018,Spain,"political behavior, process",,35000.0,F,1
4246,2018,Spain,"political behavior, process",,10000.0,F,1
4249,2018,Spain,"political behavior, process",,10000.0,F,1
4250,2018,Spain,"political behavior, process",,1000.0,F,1
4252,2019,Spain,"political behavior, process",,1000.0,F,1
4254,2019,Spain,"political behavior, process",,10000.0,F,1
4256,2019,Spain,"political behavior, process",,1000.0,F,1
4257,1991,Portugal,labor wage dispute,"price increases, tax policy",1000.0,F,1
4263,2001,Portugal,police brutality,,1000.0,F,1
4264,2003,Portugal,social restrictions,,1000.0,F,1
4265,2007,Portugal,social restrictions,"political behavior, process",1000.0,F,1
4266,2007,Portugal,"political behavior, process",,100000.0,F,1
4273,2011,Portugal,"political behavior, process","price increases, tax policy",100000.0,F,1
4274,2012,Portugal,"political behavior, process","price increases, tax policy",100000.0,F,1
4275,2012,Portugal,labor wage dispute,"political behavior, process",1000.0,F,1
4277,2012,Portugal,"political behavior, process","price increases, tax policy",500000.0,F,1
4279,2012,Portugal,"political behavior, process","price increases, tax policy",100000.0,F,1
4280,2013,Portugal,"price increases, tax policy",removal of politician,10000.0,F,1
4281,2013,Portugal,"political behavior, process","price increases, tax policy",1000.0,F,1
4290,1990,Germany,police brutality,"political behavior, process",1000.0,F,1
4291,1990,Germany,"political behavior, process",,6000.0,F,1
4294,1991,Germany,"political behavior, process",,30000.0,F,1
4295,1991,Germany,"political behavior, process",,150000.0,F,1
4296,1991,Germany,"political behavior, process",,100000.0,F,1
4297,1991,Germany,"political behavior, process",,100000.0,F,1
4298,1991,Germany,"political behavior, process",,70000.0,F,1
4299,1991,Germany,"political behavior, process",,80000.0,F,1
4301,1991,Germany,"political behavior, process",removal of politician,10000.0,F,1
4302,1991,Germany,"political behavior, process",,3000.0,F,1
4306,1991,Germany,"political behavior, process",,3000.0,F,1
4307,1991,Germany,"political behavior, process",,10000.0,F,1
4309,1992,Germany,"political behavior, process",,300000.0,F,1
4310,1992,Germany,"political behavior, process",,100000.0,F,1
4311,1992,Germany,"political behavior, process",,1000.0,F,1
4312,1992,Germany,"political behavior, process",,300000.0,F,1
4313,1992,Germany,"political behavior, process",,40000.0,F,1
4314,1992,Germany,"political behavior, process",,500000.0,F,1
4315,1992,Germany,"political behavior, process",,200000.0,F,1
4316,1992,Germany,"political behavior, process",,10000.0,F,1
4317,1993,Germany,"political behavior, process",,250000.0,F,1
4318,1993,Germany,"political behavior, process",,10000.0,F,1
4319,1993,Germany,labor wage dispute,,10000.0,F,1
4320,1993,Germany,labor wage dispute,,1000.0,F,1
4321,1993,Germany,labor wage dispute,,300000.0,F,1
4322,1993,Germany,"political behavior, process",,1000.0,F,1
4323,1993,Germany,"political behavior, process",,1000.0,F,1
4324,1993,Germany,"political behavior, process",,1000.0,F,1
4325,1993,Germany,"political behavior, process",,1000.0,F,1
4327,1993,Germany,"political behavior, process",,10000.0,F,1
4331,1994,Germany,"political behavior, process",,150000.0,F,1
4332,1995,Germany,"political behavior, process",,1000.0,F,1
4333,1995,Germany,social restrictions,,10000.0,F,1
4334,1995,Germany,social restrictions,,1000.0,F,1
4337,1996,Germany,labor wage dispute,,1000.0,F,1
4338,1996,Germany,"political behavior, process",,1000.0,F,1
4339,1996,Germany,"political behavior, process",,100000.0,F,1
4340,1996,Germany,"political behavior, process",,1000.0,F,1
4341,1996,Germany,"political behavior, process",,400000.0,F,1
4343,1997,Germany,"political behavior, process",,10000.0,F,1
4344,1997,Germany,"political behavior, process",,10000.0,F,1
4345,1997,Germany,"political behavior, process",,10000.0,F,1
4346,1997,Germany,"political behavior, process",,1000.0,F,1
4347,1997,Germany,"political behavior, process",,100000.0,F,1
4348,1997,Germany,social restrictions,,3000.0,F,1
4349,1997,Germany,"political behavior, process",,10000.0,F,1
4350,1997,Germany,"political behavior, process",,1000.0,F,1
4351,1997,Germany,"political behavior, process",,10000.0,F,1
4353,1998,Germany,"political behavior, process",,40000.0,F,1
4354,1998,Germany,"political behavior, process",,1000.0,F,1
4355,1998,Germany,"political behavior, process",,1000.0,F,1
4357,1998,Germany,"political behavior, process",,4000.0,F,1
4358,1998,Germany,"political behavior, process",,1000.0,F,1
4359,1999,Germany,labor wage dispute,,1000.0,F,1
4360,1999,Germany,"price increases, tax policy",labor wage dispute,1000.0,F,1
4362,1999,Germany,"political behavior, process","price increases, tax policy",10000.0,F,1
4364,2000,Germany,"political behavior, process",,10000.0,F,1
4366,2000,Germany,"political behavior, process",,10000.0,F,1
4373,2000,Germany,"political behavior, process",,1000.0,F,1
4375,2001,Germany,labor wage dispute,,4000.0,F,1
4377,2001,Germany,"political behavior, process",land farm issue,10000.0,F,1
4379,2001,Germany,"political behavior, process",land farm issue,7000.0,F,1
4381,2001,Germany,"political behavior, process",labor wage dispute,1000.0,F,1
4382,2001,Germany,"political behavior, process",labor wage dispute,10000.0,F,1
4386,2002,Germany,labor wage dispute,"political behavior, process",40000.0,F,1
4387,2003,Germany,"political behavior, process",labor wage dispute,10000.0,F,1
4388,2003,Germany,"political behavior, process",labor wage dispute,10000.0,F,1
4390,2003,Germany,"political behavior, process",,100000.0,F,1
4392,2004,Germany,"political behavior, process","price increases, tax policy",30000.0,F,1
4393,2004,Germany,"political behavior, process",labor wage dispute,400000.0,F,1
4395,2004,Germany,"political behavior, process",labor wage dispute,1000.0,F,1
4396,2004,Germany,"political behavior, process",labor wage dispute,1000.0,F,1
4397,2004,Germany,"political behavior, process",labor wage dispute,25000.0,F,1
4398,2004,Germany,"political behavior, process",labor wage dispute,1000.0,F,1
4399,2004,Germany,"political behavior, process",labor wage dispute,200000.0,F,1
4404,2005,Germany,"political behavior, process",,1000.0,F,1
4408,2006,Germany,labor wage dispute,"political behavior, process",25000.0,F,1
4410,2007,Germany,labor wage dispute,,13000.0,F,1
4413,2007,Germany,"political behavior, process",,2000.0,F,1
4414,2007,Germany,police brutality,,5000.0,F,1
4416,2008,Germany,"political behavior, process",,6600.0,F,1
4419,2009,Germany,"political behavior, process",labor wage dispute,484000.0,F,1
4420,2009,Germany,labor wage dispute,"price increases, tax policy",6000.0,F,1
4421,2009,Germany,labor wage dispute,,10000.0,F,1
4423,2010,Germany,"political behavior, process",,1000.0,F,1
4424,2010,Germany,"political behavior, process",,1000.0,F,1
4425,2010,Germany,land farm issue,"political behavior, process",1000.0,F,1
4426,2010,Germany,land farm issue,"political behavior, process",1000.0,F,1
4427,2010,Germany,"political behavior, process",,100000.0,F,1
4428,2010,Germany,police brutality,,10000.0,F,1
4429,2010,Germany,land farm issue,"political behavior, process",60000.0,F,1
