,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
1321,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1322,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1323,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",5000
1324,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1325,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1326,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",100s
1327,2014,Venezuela,Partly free,"political behavior, process",,10000s
1328,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",100+
1329,2014,Venezuela,Partly free,"price increases, tax policy",,5000
1330,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1331,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1332,2014,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50+
1333,2015,Venezuela,Partly free,"political behavior, process",,1000s
1334,2015,Venezuela,Partly free,"political behavior, process",,100s
1335,2015,Venezuela,Partly free,"political behavior, process",,100s
1336,2015,Venezuela,Partly free,"political behavior, process",police brutality,>50
1337,2015,Venezuela,Partly free,"political behavior, process","price increases, tax policy",50
1338,2015,Venezuela,Partly free,"political behavior, process",,>50
1339,2015,Venezuela,Partly free,"political behavior, process",,100s
1340,2015,Venezuela,Partly free,"political behavior, process",,100s
1341,2016,Venezuela,Not free,removal of politician,,Thousands
1342,2016,Venezuela,Not free,"price increases, tax policy",,several dozen arrests
1343,2016,Venezuela,Not free,removal of politician,,several thousand
1344,2016,Venezuela,Not free,"price increases, tax policy",,more than 400 arrested
1345,2016,Venezuela,Not free,removal of politician,,Hundreds of thousands
1346,2016,Venezuela,Not free,removal of politician,"price increases, tax policy",20 arrested
1347,2016,Venezuela,Not free,"political behavior, process",,hundreds
1348,2016,Venezuela,Not free,removal of politician,,Hundreds of thousands
1349,2016,Venezuela,Not free,removal of politician,,>100
1350,2016,Venezuela,Not free,"price increases, tax policy","political behavior, process",300 arrested
1373,2018,Venezuela,Not free,labor wage dispute,,50
1374,2018,Venezuela,Not free,labor wage dispute,,50
1375,2019,Venezuela,Not free,removal of politician,,50
1376,2019,Venezuela,Not free,removal of politician,"political behavior, process",50
1377,2019,Venezuela,Not free,removal of politician,"political behavior, process",100
1378,2019,Venezuela,Not free,removal of politician,"political behavior, process",hundreds of thousands
1379,2019,Venezuela,Not free,removal of politician,"political behavior, process",thousands
1380,2019,Venezuela,Not free,removal of politician,"political behavior, process",hundreds of thousands
1381,2019,Venezuela,Not free,"political behavior, process",,50
1382,2019,Venezuela,Not free,removal of politician,"political behavior, process",1000
1383,2019,Venezuela,Not free,removal of politician,"political behavior, process",thousands
1384,2019,Venezuela,Not free,removal of politician,"political behavior, process",100
1385,1992,Guyana,Partly free,"political behavior, process",,100
1386,1992,Guyana,Partly free,"political behavior, process",,50
1387,1992,Guyana,Partly free,"political behavior, process",,100
1388,1997,Guyana,Free,"political behavior, process",,300
1389,1997,Guyana,Free,removal of politician,,3000
1390,1997,Guyana,Free,"political behavior, process",,100
1391,1998,Guyana,Free,"political behavior, process",,3000
1392,1998,Guyana,Free,"political behavior, process",,500
1393,1998,Guyana,Free,"political behavior, process",,1000
1394,1998,Guyana,Free,removal of politician,,500
1395,1998,Guyana,Free,"political behavior, process",,100
1396,1998,Guyana,Free,police brutality,,50
1397,1998,Guyana,Free,"political behavior, process",,5000
1398,1998,Guyana,Free,"political behavior, process",,300
1399,1999,Guyana,Free,removal of politician,,10000
1400,2001,Guyana,Free,"political behavior, process",,50
1401,2002,Guyana,Free,social restrictions,,50
1402,2003,Guyana,Free,"political behavior, process",,50
1403,2004,Guyana,Free,"price increases, tax policy",,50
1404,2006,Guyana,Free,labor wage dispute,,50
1405,2007,Guyana,Free,"political behavior, process",,50
1406,2008,Guyana,Free,police brutality,,1000
1407,2008,Guyana,Free,"political behavior, process",,50
1408,2008,Guyana,Free,"price increases, tax policy",,3000
1409,2011,Guyana,Free,police brutality,"price increases, tax policy",100s
1410,2011,Guyana,Free,"political behavior, process",,100s
1411,2012,Guyana,Free,"price increases, tax policy",police brutality,>50
1412,2013,Guyana,Free,"political behavior, process",social restrictions,100s
1413,2013,Guyana,Free,labor wage dispute,,100s
1414,2014,Guyana,Free,"political behavior, process",,500
1415,2014,Guyana,Free,"political behavior, process",,50+
1416,2014,Guyana,Free,"political behavior, process",,100
1417,2015,Guyana,Free,labor wage dispute,,50+
1418,2015,Guyana,Free,"political behavior, process",,50+
1419,2016,Guyana,Free,"political behavior, process",,16 killed
1420,1990,Suriname,Partly free,"price increases, tax policy",,100
1421,1990,Suriname,Partly free,"political behavior, process",,50
1422,1990,Suriname,Partly free,"political behavior, process",,50
1423,1990,Suriname,Partly free,"political behavior, process",,8000
1424,1993,Suriname,Partly free,"political behavior, process",,5000
1425,1994,Suriname,Partly free,"price increases, tax policy",,4000
1426,1994,Suriname,Partly free,"political behavior, process",,75
1427,1994,Suriname,Partly free,"price increases, tax policy",,250
1428,1994,Suriname,Partly free,"political behavior, process",,1000
1429,1995,Suriname,Partly free,labor wage dispute,,1400
1430,1998,Suriname,Partly free,labor wage dispute,,700
1431,1998,Suriname,Partly free,labor wage dispute,,30000
1432,1998,Suriname,Partly free,"political behavior, process",,50
1433,1998,Suriname,Partly free,"political behavior, process",,25000
1434,1998,Suriname,Partly free,"political behavior, process",,1000
1435,1998,Suriname,Partly free,labor wage dispute,,50
1436,1998,Suriname,Partly free,"political behavior, process",labor wage dispute,50
1437,1998,Suriname,Partly free,labor wage dispute,,50
1438,1998,Suriname,Partly free,labor wage dispute,,100
1439,1999,Suriname,Partly free,labor wage dispute,,50
1440,1999,Suriname,Partly free,"political behavior, process",,100
1441,1999,Suriname,Partly free,"price increases, tax policy","political behavior, process",100
1442,1999,Suriname,Partly free,"price increases, tax policy","political behavior, process",50
1443,1999,Suriname,Partly free,"political behavior, process",,50
1444,1999,Suriname,Partly free,"political behavior, process",,50
1445,1999,Suriname,Partly free,"political behavior, process",,50
1446,1999,Suriname,Partly free,"political behavior, process",,20000
1447,1999,Suriname,Partly free,"political behavior, process",,1000
1448,1999,Suriname,Partly free,"political behavior, process",,100
1449,1999,Suriname,Partly free,"political behavior, process",,100
1450,1999,Suriname,Partly free,"political behavior, process",,50
1451,1999,Suriname,Partly free,labor wage dispute,,4800
1452,2002,Suriname,Free,labor wage dispute,,40000
1453,2002,Suriname,Free,labor wage dispute,,2450
1454,2002,Suriname,Free,labor wage dispute,,50
1455,2002,Suriname,Free,"political behavior, process",,150
1456,2003,Suriname,Free,labor wage dispute,,700
1457,2004,Suriname,Free,labor wage dispute,,900
1458,2005,Suriname,Free,"price increases, tax policy",,50
1459,2007,Suriname,Free,"political behavior, process",,50
1460,2007,Suriname,Free,"political behavior, process",,50
1461,2007,Suriname,Free,"political behavior, process",,100
1462,2007,Suriname,Free,labor wage dispute,,60
1463,2007,Suriname,Free,labor wage dispute,,50
1464,2008,Suriname,Free,"political behavior, process",,100
1465,2008,Suriname,Free,labor wage dispute,,100
1466,2009,Suriname,Free,labor wage dispute,,1000
1467,2010,Suriname,Free,labor wage dispute,,50
1468,2011,Suriname,Free,labor wage dispute,,100s
1469,2012,Suriname,Free,"political behavior, process",,>5000
1471,1990,Ecuador,Free,"political behavior, process",,50
1472,1990,Ecuador,Free,"political behavior, process",,50
1473,1990,Ecuador,Free,"political behavior, process",,50
1474,1991,Ecuador,Free,"price increases, tax policy",,50
1475,1991,Ecuador,Free,"political behavior, process",,50
1476,1991,Ecuador,Free,"political behavior, process",,50
1477,1991,Ecuador,Free,"price increases, tax policy",,100
1478,1992,Ecuador,Free,"political behavior, process",,500
1479,1992,Ecuador,Free,"political behavior, process",,6500
1480,1992,Ecuador,Free,"political behavior, process",,1000
1481,1992,Ecuador,Free,labor wage dispute,,50
1482,1993,Ecuador,Free,"political behavior, process",,50
1483,1993,Ecuador,Free,"political behavior, process",,50
1484,1993,Ecuador,Free,labor wage dispute,,120000
1485,1993,Ecuador,Free,"political behavior, process",,50
1486,1993,Ecuador,Free,"political behavior, process",labor wage dispute,1000
1487,1994,Ecuador,Free,"price increases, tax policy",,100
1488,1994,Ecuador,Free,"price increases, tax policy",,250000
1489,1994,Ecuador,Free,"price increases, tax policy",,50
1490,1994,Ecuador,Free,"political behavior, process",,50
1491,1994,Ecuador,Free,"political behavior, process",,50
1492,1994,Ecuador,Free,"political behavior, process",,50
1493,1994,Ecuador,Free,"price increases, tax policy",,50
1494,1995,Ecuador,Free,"price increases, tax policy",,50
1495,1995,Ecuador,Free,police brutality,,100
1496,1995,Ecuador,Free,"political behavior, process",,50
1497,1995,Ecuador,Free,"political behavior, process",,50
1498,1995,Ecuador,Free,"political behavior, process",,50
1499,1995,Ecuador,Free,"political behavior, process",,50
1500,1996,Ecuador,Partly free,labor wage dispute,,1000
1501,1996,Ecuador,Partly free,"political behavior, process",,500
1502,1997,Ecuador,Partly free,"political behavior, process",,100
1503,1997,Ecuador,Partly free,"political behavior, process",,100
1504,1997,Ecuador,Partly free,"political behavior, process",,1000
1505,1997,Ecuador,Partly free,"political behavior, process",,50
1506,1997,Ecuador,Partly free,"political behavior, process",,1000
1507,1998,Ecuador,Free,"price increases, tax policy",,100
1508,1998,Ecuador,Free,"political behavior, process",,1000
1509,1998,Ecuador,Free,"political behavior, process",,50
1510,1998,Ecuador,Free,"political behavior, process",,100
1511,1998,Ecuador,Free,"political behavior, process",,100
1512,1998,Ecuador,Free,"political behavior, process",,100
1513,1999,Ecuador,Free,"political behavior, process",,50
1514,1999,Ecuador,Free,"political behavior, process",,1000
1515,1999,Ecuador,Free,labor wage dispute,,120000
1516,1999,Ecuador,Free,"price increases, tax policy","political behavior, process",100
1517,1999,Ecuador,Free,"political behavior, process",,100000
1518,1999,Ecuador,Free,"political behavior, process",,1000
1519,1999,Ecuador,Free,"price increases, tax policy",,1000
1520,1999,Ecuador,Free,"price increases, tax policy","political behavior, process",50
1521,1999,Ecuador,Free,"price increases, tax policy",,100000
1522,1999,Ecuador,Free,"political behavior, process",,50
1523,1999,Ecuador,Free,labor wage dispute,,6000
1524,2000,Ecuador,Partly free,labor wage dispute,,50
1525,2000,Ecuador,Partly free,"political behavior, process",,50
1526,2000,Ecuador,Partly free,"political behavior, process",,1000
1527,2000,Ecuador,Partly free,"political behavior, process",,500
1528,2000,Ecuador,Partly free,"political behavior, process",,700
1529,2000,Ecuador,Partly free,"political behavior, process",,5000
1530,2000,Ecuador,Partly free,"political behavior, process",,8000
1531,2000,Ecuador,Partly free,"political behavior, process",,500
1532,2000,Ecuador,Partly free,"price increases, tax policy",,50
1533,2000,Ecuador,Partly free,"political behavior, process",labor wage dispute,1000
1534,2000,Ecuador,Partly free,labor wage dispute,,100000
1535,2000,Ecuador,Partly free,"political behavior, process",,1000
1536,2000,Ecuador,Partly free,labor wage dispute,,50
1537,2000,Ecuador,Partly free,"political behavior, process",,50
1538,2000,Ecuador,Partly free,labor wage dispute,,181
1539,2000,Ecuador,Partly free,labor wage dispute,,32000
1540,2000,Ecuador,Partly free,"political behavior, process",,50
1541,2000,Ecuador,Partly free,"political behavior, process",,50
1542,2001,Ecuador,Partly free,"price increases, tax policy",,50
1543,2001,Ecuador,Partly free,"political behavior, process",,50
1544,2001,Ecuador,Partly free,"price increases, tax policy",,50
1545,2001,Ecuador,Partly free,"political behavior, process",,50
1546,2001,Ecuador,Partly free,"political behavior, process",,50
1547,2001,Ecuador,Partly free,"political behavior, process",,1000
1548,2001,Ecuador,Partly free,"political behavior, process",,1000
1549,2001,Ecuador,Partly free,"price increases, tax policy",,1000
1550,2001,Ecuador,Partly free,"price increases, tax policy","political behavior, process",5000
1551,2001,Ecuador,Partly free,"political behavior, process",,50
1552,2001,Ecuador,Partly free,"political behavior, process",labor wage dispute,100
1553,2002,Ecuador,Partly free,"price increases, tax policy",,50
1554,2002,Ecuador,Partly free,"price increases, tax policy",,50
1555,2002,Ecuador,Partly free,"political behavior, process",labor wage dispute,10000
1556,2002,Ecuador,Partly free,labor wage dispute,,10000
1557,2002,Ecuador,Partly free,"political behavior, process",,800
1558,2002,Ecuador,Partly free,"political behavior, process",,50
1559,2002,Ecuador,Partly free,labor wage dispute,,14000
1560,2002,Ecuador,Partly free,"political behavior, process",,1000
1561,2002,Ecuador,Partly free,"political behavior, process",,50
1562,2002,Ecuador,Partly free,"political behavior, process",,25000
1563,2003,Ecuador,Partly free,"price increases, tax policy",,50
1564,2003,Ecuador,Partly free,labor wage dispute,,14000
1565,2003,Ecuador,Partly free,"political behavior, process",,1000
1566,2003,Ecuador,Partly free,"political behavior, process",,14000
1567,2003,Ecuador,Partly free,"political behavior, process",,18500
1568,2003,Ecuador,Partly free,"political behavior, process",,7000
1569,2003,Ecuador,Partly free,"political behavior, process",,6000
1570,2003,Ecuador,Partly free,labor wage dispute,,50
1571,2003,Ecuador,Partly free,"political behavior, process",,50
1572,2003,Ecuador,Partly free,labor wage dispute,,120000
1573,2003,Ecuador,Partly free,labor wage dispute,,5000
1574,2004,Ecuador,Partly free,"political behavior, process",,50
1575,2004,Ecuador,Partly free,"political behavior, process",,1100
1576,2004,Ecuador,Partly free,"political behavior, process",,3000
1577,2004,Ecuador,Partly free,"political behavior, process",,1000
1578,2004,Ecuador,Partly free,labor wage dispute,,50
1579,2004,Ecuador,Partly free,"political behavior, process",,1000
1580,2004,Ecuador,Partly free,"political behavior, process",,300
1581,2004,Ecuador,Partly free,"political behavior, process",,1000
1582,2005,Ecuador,Partly free,"political behavior, process",,1000
1583,2005,Ecuador,Partly free,"political behavior, process",,.
1584,2005,Ecuador,Partly free,"political behavior, process",,12000
1585,2005,Ecuador,Partly free,"political behavior, process",,1000
1586,2005,Ecuador,Partly free,"political behavior, process",,30000
1587,2005,Ecuador,Partly free,"political behavior, process",,1000
1588,2005,Ecuador,Partly free,"political behavior, process",,200
1589,2005,Ecuador,Partly free,"political behavior, process",,50
1590,2005,Ecuador,Partly free,"political behavior, process",,1000
1591,2005,Ecuador,Partly free,labor wage dispute,,1000
1592,2005,Ecuador,Partly free,"political behavior, process",,1000
1593,2006,Ecuador,Partly free,"political behavior, process",,100
1594,2006,Ecuador,Partly free,"political behavior, process",,50
1595,2006,Ecuador,Partly free,"political behavior, process",,50
1596,2006,Ecuador,Partly free,"political behavior, process",,50
1597,2006,Ecuador,Partly free,"political behavior, process",,1000
1598,2006,Ecuador,Partly free,"political behavior, process",,1000
1599,2008,Ecuador,Partly free,"political behavior, process",,1000
1600,2008,Ecuador,Partly free,"political behavior, process",,15000
1601,2009,Ecuador,Partly free,"political behavior, process",,1000
1602,2009,Ecuador,Partly free,"political behavior, process",,100
1603,2010,Ecuador,Partly free,"political behavior, process",,1000
1604,2010,Ecuador,Partly free,"political behavior, process",,100
1605,2010,Ecuador,Partly free,"political behavior, process",,1000
1606,2010,Ecuador,Partly free,labor wage dispute,,100
1607,2010,Ecuador,Partly free,"political behavior, process",,150
1608,2011,Ecuador,Partly free,"political behavior, process",,1000s
1609,2012,Ecuador,Partly free,"political behavior, process",,100s
1610,2014,Ecuador,Partly free,"political behavior, process",,50+
1611,2015,Ecuador,Partly free,"political behavior, process",labor wage dispute,1000s
1612,2015,Ecuador,Partly free,removal of politician,,1000s
1613,2015,Ecuador,Partly free,"political behavior, process","price increases, tax policy",1000s
1614,2015,Ecuador,Partly free,removal of politician,"political behavior, process",10000
1615,2015,Ecuador,Partly free,removal of politician,"political behavior, process",100s
1616,2015,Ecuador,Partly free,land farm issue,"political behavior, process",200
1617,2016,Ecuador,Partly free,land farm issue,,a few dozen
1620,2018,Ecuador,Partly free,social restrictions,,thousands
1621,1990,Peru,Partly free,labor wage dispute,,6000
1622,1990,Peru,Partly free,"price increases, tax policy",,130
1623,1990,Peru,Partly free,"price increases, tax policy",,2000
1624,1990,Peru,Partly free,"price increases, tax policy","political behavior, process",50
1625,1990,Peru,Partly free,labor wage dispute,,20000
1626,1990,Peru,Partly free,labor wage dispute,,24000
1627,1990,Peru,Partly free,labor wage dispute,,1000
1628,1991,Peru,Partly free,"political behavior, process",,100000
1629,1991,Peru,Partly free,"political behavior, process",,100
1630,1991,Peru,Partly free,labor wage dispute,,80000
1631,1991,Peru,Partly free,labor wage dispute,,260000
1632,1991,Peru,Partly free,labor wage dispute,,1000
1633,1991,Peru,Partly free,labor wage dispute,,500
1634,1991,Peru,Partly free,"political behavior, process",,80000
1635,1992,Peru,Partly free,"political behavior, process",labor wage dispute,10000
1636,1992,Peru,Partly free,"political behavior, process",,100
1637,1992,Peru,Partly free,labor wage dispute,,50
1638,1993,Peru,Partly free,"political behavior, process",,100
1639,1993,Peru,Partly free,"political behavior, process",,50
1640,1994,Peru,Partly free,"political behavior, process",,3000
1641,1994,Peru,Partly free,"political behavior, process",,50
1642,1994,Peru,Partly free,"political behavior, process",,6000
1643,1994,Peru,Partly free,"political behavior, process",,1000
1644,1995,Peru,Partly free,"political behavior, process",,50
1645,1995,Peru,Partly free,"political behavior, process",,6000
1646,1996,Peru,Partly free,"political behavior, process",,6000
1647,1996,Peru,Partly free,"political behavior, process",,13000
1648,1996,Peru,Partly free,"political behavior, process",,4500
1649,1996,Peru,Partly free,labor wage dispute,,2000
1650,1997,Peru,Partly free,"political behavior, process",,1000
1651,1997,Peru,Partly free,"political behavior, process",,3000
1652,1997,Peru,Partly free,"political behavior, process",,5000
1653,1997,Peru,Partly free,"political behavior, process",,5000
1654,1997,Peru,Partly free,"political behavior, process",,5000
1655,1997,Peru,Partly free,"political behavior, process",,1000
1656,1997,Peru,Partly free,"political behavior, process",,1150
1657,1998,Peru,Partly free,"political behavior, process",,50
1658,1998,Peru,Partly free,"political behavior, process",,5000
1659,1998,Peru,Partly free,"political behavior, process",,50
1660,1998,Peru,Partly free,"political behavior, process",,7000
1661,1998,Peru,Partly free,"political behavior, process",,14000
1662,1998,Peru,Partly free,"political behavior, process",,7000
1663,1998,Peru,Partly free,"political behavior, process",,5000
1664,1998,Peru,Partly free,"political behavior, process",,1000
1665,1998,Peru,Partly free,"political behavior, process",,25000
1666,1999,Peru,Partly free,"political behavior, process",,50
1667,1999,Peru,Partly free,labor wage dispute,,1000
1668,1999,Peru,Partly free,"political behavior, process",,150
1669,1999,Peru,Partly free,"political behavior, process",,1000
1670,1999,Peru,Partly free,"political behavior, process",,100
1671,1999,Peru,Partly free,"political behavior, process",,55
1672,1999,Peru,Partly free,"political behavior, process",,10000
1673,1999,Peru,Partly free,"political behavior, process",,1000
1674,2000,Peru,Partly free,"political behavior, process",,1000
1675,2000,Peru,Partly free,"political behavior, process",,50
1676,2000,Peru,Partly free,"political behavior, process",,10000
1677,2000,Peru,Partly free,"political behavior, process",,80000
1678,2000,Peru,Partly free,"political behavior, process",,1000
1679,2000,Peru,Partly free,"political behavior, process",,40000
1680,2000,Peru,Partly free,"political behavior, process",,10000
1681,2000,Peru,Partly free,"political behavior, process",,10000
1682,2001,Peru,Free,"political behavior, process",,300
1683,2001,Peru,Free,"political behavior, process",,450
1684,2001,Peru,Free,"political behavior, process",,300
1685,2001,Peru,Free,"political behavior, process",,1200
1686,2002,Peru,Free,"political behavior, process",,920
1687,2002,Peru,Free,"political behavior, process",,1000
1688,2002,Peru,Free,"political behavior, process",,50
1689,2002,Peru,Free,"political behavior, process",,50
1690,2002,Peru,Free,"political behavior, process",,50
1691,2002,Peru,Free,"political behavior, process",,50
1692,2002,Peru,Free,"political behavior, process",,2000
1693,2002,Peru,Free,"political behavior, process",,240000
1694,2002,Peru,Free,"political behavior, process",labor wage dispute,5000
1695,2002,Peru,Free,"political behavior, process",,1000
1696,2003,Peru,Free,labor wage dispute,,50
1697,2003,Peru,Free,labor wage dispute,,280000
1698,2003,Peru,Free,"price increases, tax policy",,10000
1699,2003,Peru,Free,"political behavior, process",,5000
1700,2003,Peru,Free,"political behavior, process",police brutality,50000
1701,2003,Peru,Free,"political behavior, process",,20000
1702,2003,Peru,Free,"price increases, tax policy","political behavior, process",50
1703,2003,Peru,Free,"political behavior, process",,50
1704,2003,Peru,Free,"political behavior, process",,500
1705,2004,Peru,Free,"political behavior, process",,10000
1706,2004,Peru,Free,"political behavior, process",,1000
1707,2004,Peru,Free,"political behavior, process",,10000
1708,2004,Peru,Free,"political behavior, process",,300
1709,2004,Peru,Free,"political behavior, process",,50
1710,2004,Peru,Free,"political behavior, process",labor wage dispute,240000
1711,2004,Peru,Free,labor wage dispute,,50
1712,2004,Peru,Free,"political behavior, process",,1000
1713,2004,Peru,Free,"political behavior, process",,1500
1714,2004,Peru,Free,"political behavior, process",,500
1715,2005,Peru,Free,labor wage dispute,,14000
1716,2005,Peru,Free,"price increases, tax policy","political behavior, process",50
1717,2005,Peru,Free,"political behavior, process",,50
1718,2006,Peru,Free,labor wage dispute,,1000
1719,2006,Peru,Free,"political behavior, process",,50
1720,2006,Peru,Free,"political behavior, process",,4000
1721,2007,Peru,Free,"political behavior, process",,1000
1722,2007,Peru,Free,"price increases, tax policy","political behavior, process",50
1723,2007,Peru,Free,"political behavior, process",,50
1724,2007,Peru,Free,"political behavior, process",labor wage dispute,35000
1725,2007,Peru,Free,labor wage dispute,,50
1726,2007,Peru,Free,"political behavior, process",,1000
1727,2007,Peru,Free,"political behavior, process",labor wage dispute,16000
1728,2007,Peru,Free,labor wage dispute,,80000
1729,2008,Peru,Free,"political behavior, process",,50
1730,2008,Peru,Free,"political behavior, process",,500
1731,2008,Peru,Free,"political behavior, process",,1000
1732,2008,Peru,Free,"price increases, tax policy","political behavior, process",1000
1733,2008,Peru,Free,"political behavior, process",,20000
1734,2008,Peru,Free,"political behavior, process",,50
1735,2008,Peru,Free,"political behavior, process",,50
1736,2008,Peru,Free,"political behavior, process",,12000
1737,2008,Peru,Free,"political behavior, process",,1000
1738,2008,Peru,Free,"political behavior, process",,100
1739,2008,Peru,Free,"political behavior, process",,50
1740,2008,Peru,Free,"political behavior, process",,200
1741,2008,Peru,Free,"political behavior, process",,2000
1742,2009,Peru,Free,"political behavior, process",,50
1743,2009,Peru,Free,"political behavior, process",,100
1744,2009,Peru,Free,social restrictions,,100
1745,2009,Peru,Free,"political behavior, process",,3000
1746,2009,Peru,Free,"political behavior, process",,50
1747,2009,Peru,Free,"political behavior, process",,50
1748,2009,Peru,Free,"political behavior, process",,10000
1749,2009,Peru,Free,"political behavior, process",,50
1750,2010,Peru,Free,"political behavior, process",labor wage dispute,1500
1751,2010,Peru,Free,"political behavior, process",labor wage dispute,16000
1752,2010,Peru,Free,"political behavior, process",,10000
1753,2010,Peru,Free,"political behavior, process",,1000
1754,2010,Peru,Free,"political behavior, process",,3500
1755,2010,Peru,Free,"political behavior, process",,50
1756,2011,Peru,Free,"political behavior, process",police brutality,>15000
1757,2011,Peru,Free,"political behavior, process",,10000
1758,2011,Peru,Free,"political behavior, process",land farm issue,1000
1759,2011,Peru,Free,"political behavior, process",labor wage dispute,1000s
1760,2011,Peru,Free,"political behavior, process",land farm issue,5000
1761,2012,Peru,Free,"political behavior, process",land farm issue,2000
1762,2012,Peru,Free,"political behavior, process",land farm issue,1000s
1763,2012,Peru,Free,"political behavior, process",,300
1764,2012,Peru,Free,"political behavior, process",,10000
1765,2012,Peru,Free,"political behavior, process",land farm issue,100s
1766,2012,Peru,Free,"political behavior, process",land farm issue,100s
1767,2012,Peru,Free,"political behavior, process",,100s
1768,2013,Peru,Free,"political behavior, process",,100s
1769,2014,Peru,Free,"political behavior, process",,100s
1770,2014,Peru,Free,"political behavior, process",,100s
1771,2014,Peru,Free,"political behavior, process",,1000s
1772,2014,Peru,Free,"political behavior, process",,50+
1773,2015,Peru,Free,"political behavior, process",,7000
1774,2016,Peru,Free,"political behavior, process",,thousands
1775,2016,Peru,Free,"political behavior, process",,more than 50000
1776,2016,Peru,Free,labor wage dispute,,thousands
1781,2018,Peru,Free,"political behavior, process",,thousands
1782,2018,Peru,Free,police brutality,,100
1783,2018,Peru,Free,police brutality,,1500
1784,2018,Peru,Free,"political behavior, process",,hundreds
1785,2019,Peru,Free,"political behavior, process",,thousands
1786,1990,Brazil,Free,"political behavior, process",,3000
1787,1990,Brazil,Free,labor wage dispute,,150000
1788,1990,Brazil,Free,"political behavior, process",,100000
1789,1990,Brazil,Free,"political behavior, process",,40000
1790,1990,Brazil,Free,"political behavior, process",,2000
1791,1991,Brazil,Free,labor wage dispute,,50
1792,1991,Brazil,Free,"political behavior, process",,100000
1793,1991,Brazil,Free,labor wage dispute,,4500
1794,1991,Brazil,Free,labor wage dispute,,1000
1795,1991,Brazil,Free,labor wage dispute,,55000
1796,1991,Brazil,Free,"political behavior, process",,50
1797,1991,Brazil,Free,"political behavior, process",,6000
1798,1992,Brazil,Free,removal of politician,,100000
1799,1992,Brazil,Free,removal of politician,,100
1800,1992,Brazil,Free,removal of politician,,10000
1801,1992,Brazil,Free,removal of politician,,750000
1802,1993,Brazil,Partly free,"political behavior, process",,50000
1803,1993,Brazil,Partly free,"political behavior, process",,50
1804,1993,Brazil,Partly free,"political behavior, process",,1000
1805,1994,Brazil,Partly free,"political behavior, process",,1000
1806,1994,Brazil,Partly free,"political behavior, process",,10000
1807,1995,Brazil,Partly free,"political behavior, process",,10000
1808,1995,Brazil,Partly free,"political behavior, process",,1000
1809,1995,Brazil,Partly free,"political behavior, process",,10000
1810,1995,Brazil,Partly free,"political behavior, process",,300
1811,1995,Brazil,Partly free,"political behavior, process",,1300
1812,1995,Brazil,Partly free,"political behavior, process",,20000
1813,1996,Brazil,Partly free,"political behavior, process",,1000
1814,1996,Brazil,Partly free,"political behavior, process",,2500
1815,1996,Brazil,Partly free,labor wage dispute,,10000
1816,1996,Brazil,Partly free,"political behavior, process",,50
1817,1997,Brazil,Partly free,"political behavior, process",,1000
1818,1997,Brazil,Partly free,"political behavior, process",,50
1819,1997,Brazil,Partly free,"political behavior, process",,1000
1820,1997,Brazil,Partly free,"political behavior, process",,1000
1821,1997,Brazil,Partly free,"political behavior, process",,1000
1822,1997,Brazil,Partly free,labor wage dispute,,50
1823,1997,Brazil,Partly free,labor wage dispute,,50
1824,1997,Brazil,Partly free,"political behavior, process",,500
1825,1998,Brazil,Partly free,"political behavior, process",,1000
1826,1998,Brazil,Partly free,"political behavior, process",,3800
1827,1998,Brazil,Partly free,"political behavior, process",,4000
1828,1998,Brazil,Partly free,"political behavior, process",,13000
1829,1998,Brazil,Partly free,"political behavior, process",,2000
1830,1998,Brazil,Partly free,"political behavior, process",,2000
1831,1998,Brazil,Partly free,"political behavior, process",,20000
1832,1998,Brazil,Partly free,"political behavior, process",,50
1833,1998,Brazil,Partly free,"political behavior, process",,150
1834,1998,Brazil,Partly free,"political behavior, process",,50000
1835,1998,Brazil,Partly free,"political behavior, process",,60
1836,1999,Brazil,Partly free,"political behavior, process",,1000
1837,1999,Brazil,Partly free,"political behavior, process",,400
1838,1999,Brazil,Partly free,"political behavior, process",,400
1839,1999,Brazil,Partly free,"political behavior, process",,50
1840,1999,Brazil,Partly free,"political behavior, process",,100
1841,1999,Brazil,Partly free,"political behavior, process",,1000
1842,1999,Brazil,Partly free,"political behavior, process",,100000
1843,1999,Brazil,Partly free,"political behavior, process",,1000
1844,1999,Brazil,Partly free,labor wage dispute,,100
1845,1999,Brazil,Partly free,police brutality,,50
1846,2000,Brazil,Partly free,"political behavior, process",,15000
1847,2000,Brazil,Partly free,"political behavior, process",,1000
1848,2000,Brazil,Partly free,"political behavior, process",,900000
1849,2000,Brazil,Partly free,"political behavior, process",,300
1850,2000,Brazil,Partly free,"political behavior, process",,2000
1851,2000,Brazil,Partly free,"political behavior, process",,1000
1852,2000,Brazil,Partly free,"political behavior, process",,500
1853,2000,Brazil,Partly free,police brutality,,50
