Country,Protest Name,Start Date,Freedom Rating (Status) at Start Date,Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,
Romania,Corruption protests,Jan-17,Free,"Government attempts to decriminalize corruption offenses, limit judicial independence through reforms, and obstruct anticorruption investigations.","Government corruption, subversion of democratic processes, and erosion of judicial independence.","500,000","Key participants varied by protest, from urban young people to Romanian diaspora, magistrates.",2 years (sporadic),"In some (but not all) cases, the government reversed decrees in response to the protests.",
Russia,Corruption protest,Mar-17,Not free,"Publication of a video by opposition politician Alexei Navalny, alleging that then prime minister Dmitry Medvedev had accumulated luxury mansions, yachts, and vineyards.",Economic downturn and corruption.,"60,000","Opposition leaders, activists.",1 day,No policy/leadership change in response to the protests.,
Russia,Moscow election protests,Jul-19,Not free,Banning of some opposition politicians from running in Moscow city council elections.,Growing authoritarianism under President Vladimir Putin.,"50,000","Opposition groups with various political affiliations, young people.",1 month,No policy/leadership change in response to the protests.,
Russia,Constitutional changes protests,Feb-20,Not free,"Constitutional changes that could allow President Vladimir Putin to stay in power past 2024, as well as the five-year anniversary of the death of an opposition leader.","Opposition to constitutional changes, falling popularity of Putin","22,000",Political opposition.,Active,No policy or leadership change in response to the protests.,
Russia,Coronavirus restrictions protests,Apr-20,Not free,Economic implications of the shutdown and self-isolation measures established in response to the coronavirus pandemic.,"Concern over the economic effects of the shutdown, particularly in poorer areas that have lower infection rates.","2,000",General public.,1 day,No policy/leadership change in response to the protests.,
Serbia,“1 Out of 5 Million” protests,Dec-18,Free,"Violent attack on an opposition leader, and President Aleksandar Vučić’s mockery of the ensuing protests.","Corruption, nepotism, government incompetence, state control of media, and rising authoritarianism.","37,500",Opposition parties.,"1 year, 2 months",No policy/leadership change in response to the protests.,
Slovakia,“For a Decent Slovakia” protests,Mar-18,Free,Murder of a journalist who was at the time investigating connections between the Italian mafia and high-ranking Slovakian politicians.,Continued government corruption and popular distrust in the current government.,"65,000",Young people.,"1 year, 6 months",Then prime minister Robert Fico resigned and was succeeded by a deputy.,
South Africa,Anti-Zuma protest,Apr-17,Free,Ouster of popular African National Congress finance minister Pravin Gordhan.,"Economic challenges, inequality, corruption, political cronyism, and growing disapproval of then president Jacob Zuma.","30,000",General public.,1 day,No policy/leadership change in response to the protests.,
South Africa,Violence against women protests,Sep-19,Free,Spate of femicides.,Violence against women and lack of institutional protections for women.,4000,Gender rights activist organizations.,1 month,"In November 2019, President Cyril Ramphosa launched a “16 days of activism” campaign to raise awareness around the rights of women and girls. In his 2020 State of the Union, Ramphosa announced plans to help curb violence against women.",
South Korea,Candlelight demonstrations,Oct-16,Free,"Revelations that Choi Soon-sil, the confidante and old friend of then president Park Geun-hye, exercised undue influence. Choi allegedly urged businesses to donate to her own foundations in return for political favors, accessed classified government documents despite lacking the necessary authorization, and played a role in selecting presidential aides.","Improper influence of outside individuals, including friends of politicians as well as business elites and family-run conglomerates; increasing class divisions and inequality and lack of social mobility and economic opportunity, especially for younger citizens; and patriarchy and sexism in South Korea.",1.5 million,"Trade unions, students, feminist groups, families, representatives from parties on the political right and left.",5 months,Park was impeached.,
South Korea,Justice minister protests,Oct-19,Free,"Allegations of corruption against the then justice minister, Cho Kuk, who had pushed for prosecutorial reforms.",Government corruption and public distrust of prosecutors.,">100,000","Anti-Cho protesters: evangelical Christian activists, conservatives, older citizens; pro-Cho protestors: younger, urban, white-collar workers.",2 months,Then justice minister Cho resigned.,
Spain,Catalan independence protests,Oct-19,Free,Sentencing of Catalan separatist leaders to prison.,"Catalan independence, dissatisfaction with the government response to the independence movement, and belief that Catalonia should retain more of its own tax revenues.","600,000",Pro-independence groups and their supporters.,2 months,"No policy/leadership change in response to the protests. After winning support from Catalan separatist party, Prime Minister Pedro Sánchez promised to resolve the Catalan dispute through dialogue.",
Spain,Coronavirus protests,May-20,Free,"Protesters’ claims that the government misrepresented the extent of the health crisis, violated citizens’ rights by confining them to their homes and ruling by decree, and damaged the economy.","Economic effects of the lockdown, and concerns of government overreach.",Thousands,Supporters of the far-right Vox party.,1 day,No policy/leadership change in response to the protests.,
Sri Lanka,Constitutional crisis protests,Oct-18,Partly free,Then president Maithripala Sirisena’s dismissal of then prime minster Ranil Wickremesinghe and the suspension of parliament.,Fears of majoritarianism and return of minority repression.,"62,500",Supporters of the former prime minister.,2 days,Wickremasinghe was reappointed as prime minister for a time.,
Sudan,Sudanese revolution,Dec-18,Not free,Hike in bread prices during a period of high inflation.,"Discontent with the ruling party and political and economic elites, economic downturn, and the heavy-handed response to initial protests.",">100,000","General public, trade union of professionals, women.",1 year,"Then president Omar Al-Bashir was forced out of office, and his regime was dismantled. A transition government composed of both military and civilian leaders is currently in place, with elections scheduled for 2021.",
Taiwan,Pension reform protest,Jan-17,Free,Pension reform plans.,"Discontent with the government, slowing economic growth, and concerns over the pension system's solvency with a rapidly aging population.","12,000","Public employees such as military personnel, teachers, police, civil servants.",1 day,No policy/leadership change in response to the protests.,
Taiwan,Taiwan “Yellow Vest” protests,Dec-18,Free,High taxes and the unfair handling of tax disputes.,An unfair and confusing taxation system.,"20,000","Activist groups, general public.",2 weeks,No policy/leadership change in response to the protests.,
Togo,Term limit protests,Sep-17,Partly free,Demands for presidential term limits on President Faure Gnassingbé.,"Concerns over dynastic politics, poor living conditions, and high youth unemployment.","800,000","Coalition of opposition parties, protestors from varying age groups, social classes, ethnicities.",7 months,No policy/leadership change in response to the protests.,
Turkey,“March for Justice” protest,Jul-17,Not free,End of twenty-five-day “March for Justice” against President Recep Tayyip Erdoğan.,Government crackdown against critics and civil servants and the expansion of executive power.,">100,000",Turkey’s largest pposition party.,1 day,No policy/leadership change in response to the protests.,
Turkey,Economic protest,Dec-18,Not free,"Rising cost of living, high inflation, and “Yellow Vest” movement in France.","Rising inflation, slowing economic growth, and high cost of living.",">1,000",Public service workers’ unions.,1 day,No policy/leadership change in response to the protests.,
Ukraine,Peace plan protests,Oct-19,Partly free,President Volodymyr Zelensky’s decision to grant special status to a separatist region in eastern Ukraine as part of a larger deal with Moscow.,Opposition to policy changes regarding Russia.,"20,000","War veterans, moderate critics of Zelensky, nationalist and far-right activists.",1 week,No policy/leadership change in response to the protests.,
United Kingdom,People’s Vote protests,Jun-18,Free,"Discontent with the state of Brexit negotiations between the British government and the EU, and popular demands for a second Brexit referendum.",Concern over Brexit and its implications.,1 million,"People’s Vote campaign, pro-EU groups, general public.","1 year, 4 months (sporadic)",No policy/leadership change in response to the protests.,
United Kingdom,Black Lives Matter protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in the UK.",Systemic racism in the UK and the country’s imperial legacy.,Tens of thousands,General public.,Active,The establishment of a government commission to examine racial inequality.,
United States,Immigration ban protests,Jan-17,Free,President Donald Trump’s executive order preventing travelers from seven Muslim-majority nations from entering the country.,Concerns over discrimination against Muslims.,">10,000",General public.,3 days,No policy/leadership change in response to the protests.,
United States,“Keep Families Together” protest,Jun-18,Free,"President Donald Trump’s “zero tolerance” immigration policy, which separated children from their parents at the U.S. border with Mexico.",Government immigration policy.,">10,000",General public.,1 day,No policy/leadership change in response to the protests.,
United States,“Lights for Liberty” protest,Jul-19,Free,Conditions in migrant detention camps.,Opposition to President Donald Trump’s migration policies.,">100,000","General public (including protests in all fifty states, with a significant number occurring in regions that had voted for Trump in 2016).",1 day,No policy/leadership change in response to the protests.,
United States,“Telegramgate” protests,Jul-19,Free,Leak of Puerto Rico government officials’ racist and homophobic messages.,"Continued economic challenges, government mismanagement, and corruption.","500,000",Puerto Ricans.,1 week,Then Puerto Rican governor Ricardo Rosselló resigned.,
United States,Coronavirus lockdown protests,Apr-20,Free,"Extended business closures due to stay-at-home orders, as well as restrictions on movement.",Economic impacts of statewide shutdowns.,">10,000","Conservative organizers, grassroots groups.",Active,"Some states, such as Florida and Texas, have begun to partially reopen or plan on doing so soon.",
United States,Prison protest,Apr-20,Free,Rising number of coronavirus cases in Arizona immigrant detention facilities.,Risk of the coronavirus spreading within prisons or other detention facilities.,>700,Immigration activists.,1 day,No policy/leadership change in response to the protests.,
United States,Police brutality protests,May-20,Free,Excessive use of lethal force by police officers against unarmed Black civilians.,"Ongoing police brutality toward communities of Black people, and broader issues of systemic racism.",">100,000",General public.,Active,Multiple local governments have reduced funding for the police. Some of the officers involved in the deaths of George Floyd and Breonna Taylor have been arrested.,
Uruguay,Farmer protest,Jan-18,Free,Rising taxes for farmers and rising fuel prices.,Lack of government support for farmers and increasing agriculture costs.,">10,000",Farmers’ organizations.,1 day,Then president Tabaré Vázquez met with representatives and announced measures such as reductions for fuel prices and electricity rates.,
Venezuela,“Mother of All Marches” protests,Apr-17,Not free,Attempt by Venezuelan Supreme Court to dissolve the opposition-controlled legislature.,"Growing authoritarianism, economic crisis, and ensuing food and medicine shortages.","200,000",Political opposition.,3 months,No policy/leadership change in response to the protests.,
Venezuela,January 2019 protests,Jan-19,Not free,Opposition leader Juan Guaidó’s self-declared claim to be the president of Venezuela.,"Economic collapse, corruption, food shortages, brutal government repression of dissidents, and political authoritarianism.",">100,000",Working-class citizens who once represented one of the regime’s bastions of support.,Last major protests in March 2020,No policy/leadership change in response to the protests.,
Vietnam,Cybersecurity/special economic zone protests,Jun-18,Not free,"A bill that would allow foreign investors to occupy land in three special economic areas, and a cybersecurity law that would require tech companies to store data of Vietnam-based users in the country.","Fear of growing Chinese influence through special economic zones, concerns over citizens’ privacy and limited freedoms of speech, and the effects of the cybersecurity law on the digital economy’s growth.","50,000",General public.,1 week,The vote on the bill involving special economic zones was delayed until May 2019.,
Zimbabwe,Mugabe protest,Nov-17,Partly free,"Military takeover of power, after which protesters began demanding that then president Robert Mugabe step down.",Desire for political reforms and repression under Mugabe.,">10,000","General public, including war veterans.",1 day,Mugabe stepped down and was replaced by Emmerson Mnangagwa.,
