"SEX","GEO","TIME","CATEGORY","NACE_R2","AGE","UNIT","Value","Flag and Footnotes"
"Total","Hungary","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","58.0",""
"Total","Hungary","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","39.7",""
"Total","Hungary","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","159.0",""
"Total","Hungary","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","136.8",""
"Total","Hungary","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","22.6",""
"Total","Hungary","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","248.8",""
"Total","Hungary","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","57.5",""
"Total","Hungary","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","62.7",""
"Total","Hungary","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","39.9",""
"Total","Hungary","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","158.7",""
"Total","Hungary","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","139.4",""
"Total","Hungary","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","27.4",""
"Total","Hungary","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","264.9",""
"Total","Hungary","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","59.2",""
"Total","Hungary","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","56.2",""
"Total","Hungary","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","36.2",""
"Total","Hungary","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","177.2",""
"Total","Hungary","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","153.3",""
"Total","Hungary","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","31.5",""
"Total","Hungary","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","289.6",""
"Total","Hungary","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","66.1",""
"Total","Hungary","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","60.0",""
"Total","Hungary","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","35.8",""
"Total","Hungary","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","198.8",""
"Total","Hungary","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","172.1",""
"Total","Hungary","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","30.8",""
"Total","Malta","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","13.6",""
"Total","Malta","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","2.8",""
"Total","Malta","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","1.2",""
"Total","Malta","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","0.6","u"
"Total","Malta","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","11.9",""
"Total","Malta","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","11.1",""
"Total","Malta","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","0.5","u"
"Total","Malta","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","15.5",""
"Total","Malta","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","3.1",""
"Total","Malta","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","1.1",""
"Total","Malta","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","0.4","u"
"Total","Malta","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","14.1",""
"Total","Malta","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","13.1",""
"Total","Malta","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","0.4","u"
"Total","Malta","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","17.8",""
"Total","Malta","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","3.1",""
"Total","Malta","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","1.7",""
"Total","Malta","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","0.7","u"
"Total","Malta","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","15.9",""
"Total","Malta","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","14.5",""
"Total","Malta","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand",":","u"
"Total","Malta","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","21.5",""
"Total","Malta","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","3.5",""
"Total","Malta","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","2.3",""
"Total","Malta","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","1.2",""
"Total","Malta","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","18.4",""
"Total","Malta","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","16.8",""
"Total","Malta","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","0.8","u"
"Total","Netherlands","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","807.0",""
"Total","Netherlands","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","136.0",""
"Total","Netherlands","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","66.3",""
"Total","Netherlands","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","41.2",""
"Total","Netherlands","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","649.0",""
"Total","Netherlands","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","586.7",""
"Total","Netherlands","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","91.8",""
"Total","Netherlands","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","828.5",""
"Total","Netherlands","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","135.1",""
"Total","Netherlands","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","65.1",""
"Total","Netherlands","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","39.7",""
"Total","Netherlands","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","670.8",""
"Total","Netherlands","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","604.7",""
"Total","Netherlands","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","92.6",""
"Total","Netherlands","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","890.3",""
"Total","Netherlands","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","143.0",""
"Total","Netherlands","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","77.8",""
"Total","Netherlands","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","47.3",""
"Total","Netherlands","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","711.6",""
"Total","Netherlands","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","647.8",""
"Total","Netherlands","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","100.9",""
"Total","Netherlands","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","957.1",""
"Total","Netherlands","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","153.7",""
"Total","Netherlands","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","81.4",""
"Total","Netherlands","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","48.0",""
"Total","Netherlands","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","762.6",""
"Total","Netherlands","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","694.7",""
"Total","Netherlands","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","113.1",""
"Total","Austria","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","271.6",""
"Total","Austria","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","59.9",""
"Total","Austria","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","41.2",""
"Total","Austria","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","27.1",""
"Total","Austria","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","214.2",""
"Total","Austria","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","181.9",""
"Total","Austria","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","16.3",""
"Total","Austria","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","282.7",""
"Total","Austria","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","56.9",""
"Total","Austria","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","43.5",""
"Total","Austria","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","28.2",""
"Total","Austria","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","223.9",""
"Total","Austria","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","193.6",""
"Total","Austria","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","15.3",""
"Total","Austria","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","402.4",""
"Total","Austria","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","61.1",""
"Total","Austria","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","52.5",""
"Total","Austria","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","35.9",""
"Total","Austria","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","332.4",""
"Total","Austria","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","297.1",""
"Total","Austria","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","17.4",""
"Total","Austria","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","400.2",""
"Total","Austria","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","58.0",""
"Total","Austria","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","47.4",""
"Total","Austria","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","31.2",""
"Total","Austria","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","335.9",""
"Total","Austria","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","302.0",""
"Total","Austria","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","16.9",""
"Total","Poland","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","1,145.7",""
"Total","Poland","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","170.4",""
"Total","Poland","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","133.8",""
"Total","Poland","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","65.8",""
"Total","Poland","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","905.3",""
"Total","Poland","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","824.8",""
"Total","Poland","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","106.7",""
"Total","Poland","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","1,201.9",""
"Total","Poland","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","194.2",""
"Total","Poland","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","156.5",""
"Total","Poland","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","82.7",""
"Total","Poland","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","935.3",""
"Total","Poland","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","859.9",""
"Total","Poland","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","110.1",""
"Total","Poland","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","1,252.9",""
"Total","Poland","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","208.5",""
"Total","Poland","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","170.9",""
"Total","Poland","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","85.7",""
"Total","Poland","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","971.8",""
"Total","Poland","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","884.1",""
"Total","Poland","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","110.3",""
"Total","Poland","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","1,302.0",""
"Total","Poland","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","237.2",""
"Total","Poland","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","172.1",""
"Total","Poland","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","86.6",""
"Total","Poland","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","1,010.9",""
"Total","Poland","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","921.0",""
"Total","Poland","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","119.0",""
"Total","Portugal","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","336.4",""
"Total","Portugal","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","52.7",""
"Total","Portugal","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","34.3",""
"Total","Portugal","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","13.1",""
"Total","Portugal","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","277.5",""
"Total","Portugal","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","248.4",""
"Total","Portugal","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","24.6",""
"Total","Portugal","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","358.5",""
"Total","Portugal","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","60.2",""
"Total","Portugal","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","32.6",""
"Total","Portugal","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","12.8",""
"Total","Portugal","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","302.7",""
"Total","Portugal","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","270.8",""
"Total","Portugal","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","23.2",""
"Total","Portugal","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","392.6",""
"Total","Portugal","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","69.5",""
"Total","Portugal","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","36.4",""
"Total","Portugal","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","14.0",""
"Total","Portugal","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","328.7",""
"Total","Portugal","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","295.1",""
"Total","Portugal","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","27.5",""
"Total","Portugal","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","428.2",""
"Total","Portugal","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","77.5",""
"Total","Portugal","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","38.9",""
"Total","Portugal","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","14.8",""
"Total","Portugal","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","363.2",""
"Total","Portugal","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","322.1",""
"Total","Portugal","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","26.1",""
"Total","Romania","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","527.3",""
"Total","Romania","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","80.0",""
"Total","Romania","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","106.8",""
"Total","Romania","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","53.3",""
"Total","Romania","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","318.0",""
"Total","Romania","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","268.0",""
"Total","Romania","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","102.5",""
"Total","Romania","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","540.4",""
"Total","Romania","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","88.5",""
"Total","Romania","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","113.6",""
"Total","Romania","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","57.6",""
"Total","Romania","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","329.5",""
"Total","Romania","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","282.7",""
"Total","Romania","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","97.2",""
"Total","Romania","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","553.8",""
"Total","Romania","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","89.5",""
"Total","Romania","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","115.0",""
"Total","Romania","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","66.3",""
"Total","Romania","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","341.4",""
"Total","Romania","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","294.9",""
"Total","Romania","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","97.4",""
"Total","Romania","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","559.7",""
"Total","Romania","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","97.1",""
"Total","Romania","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","108.1",""
"Total","Romania","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","65.7",""
"Total","Romania","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","354.9",""
"Total","Romania","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","306.2",""
"Total","Romania","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","96.7",""
"Total","Slovenia","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","75.1",""
"Total","Slovenia","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","15.5",""
"Total","Slovenia","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","17.1",""
"Total","Slovenia","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","10.2",""
"Total","Slovenia","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","53.7",""
"Total","Slovenia","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","48.1",""
"Total","Slovenia","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.2",""
"Total","Slovenia","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","76.1",""
"Total","Slovenia","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","17.3",""
"Total","Slovenia","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","16.6",""
"Total","Slovenia","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.8",""
"Total","Slovenia","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","54.7",""
"Total","Slovenia","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","49.5",""
"Total","Slovenia","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.8",""
"Total","Slovenia","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","81.1",""
"Total","Slovenia","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","17.6",""
"Total","Slovenia","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","18.0",""
"Total","Slovenia","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","12.2",""
"Total","Slovenia","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","58.2",""
"Total","Slovenia","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","52.9",""
"Total","Slovenia","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.9",""
"Total","Slovenia","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","83.2",""
"Total","Slovenia","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","19.4",""
"Total","Slovenia","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","19.3",""
"Total","Slovenia","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","12.5",""
"Total","Slovenia","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","58.7",""
"Total","Slovenia","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","53.0",""
"Total","Slovenia","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","5.2",""
"Total","Slovakia","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","89.1",""
"Total","Slovakia","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","28.3",""
"Total","Slovakia","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","8.5",""
"Total","Slovakia","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","5.3",""
"Total","Slovakia","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","73.0",""
"Total","Slovakia","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","64.6",""
"Total","Slovakia","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","7.6",""
"Total","Slovakia","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","101.0",""
"Total","Slovakia","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","30.9",""
"Total","Slovakia","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","10.0",""
"Total","Slovakia","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","5.0",""
"Total","Slovakia","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","81.2",""
"Total","Slovakia","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","71.5",""
"Total","Slovakia","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","9.7",""
"Total","Slovakia","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","110.4",""
"Total","Slovakia","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","31.0",""
"Total","Slovakia","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","11.5",""
"Total","Slovakia","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","6.2",""
"Total","Slovakia","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","90.5",""
"Total","Slovakia","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","80.4",""
"Total","Slovakia","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","8.4",""
"Total","Slovakia","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","120.5",""
"Total","Slovakia","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","36.1",""
"Total","Slovakia","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","15.5",""
"Total","Slovakia","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","10.0",""
"Total","Slovakia","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","99.9",""
"Total","Slovakia","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","90.3",""
"Total","Slovakia","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","5.1",""
"Total","Finland","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","260.8",""
"Total","Finland","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","77.2",""
"Total","Finland","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","53.8",""
"Total","Finland","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","35.4",""
"Total","Finland","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","185.6",""
"Total","Finland","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","169.5",""
"Total","Finland","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","21.4",""
