"TIME","GEO","INDIC_ED","Value"
"2010","Albania","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2011","Albania","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2012","Albania","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2003","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","70.5"
"2004","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","70.6"
"2005","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","72.0"
"2006","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","73.5"
"2007","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","74.1"
"2008","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","75.7"
"2009","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","77.3"
"2010","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","79.8"
"2011","Turkey","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2012","Turkey","Female students per 100 males in tertiary education (ISCED5-6)","83.3"
"2003","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2004","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2005","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2006","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2007","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2008","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2009","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2010","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2011","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2012","Bosnia and Herzegovina","Female students per 100 males in tertiary education (ISCED5-6)",":"
