,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Min Salary,Max Salary
1305,Data Analyst - EDSS,60-124 (),"Requirements/Job Duties:
World Wide Technology (WWT) is a global technology integrator and supply chain solutions provider. Through our culture of innovation we inspire, build and deliver business results, from idea to outcome. Based in St. Louis, WWT works closely with industry leaders such as Cisco, HPE, Dell EMC, NetApp, VMware and F5, focusing on three market segments: Fortune 500 companies, service providers and the public sector.

Check us out: https://www.youtube.com/user/worldwidetechnology

Take an ATC Tour: https://www.wwt.com/services/atc/

This position supports the US Army Corps of Engineers ACE-IT Program. Conducts or participates in multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems software. Utilizing Application Programming Interfaces, including RESTful APIs, the appropriate programming language and COTS software, manages data across disparate systems for purposes of gaining new insights into the that data, and automates the deployment of infrastructure architectures designed by the Systems and Networking Engineers. Locates and integrates data sources for the purpose of process improvement for the customer. Locates and automates time consuming manual tasks. As an alternate to the DevOps Engineer, and under the direction of the DevOps Engineer automate Systems tasks in Ansible. As an alternate to, and under the direction of the ITSM Architect, integrates the ITSM tool set with newly deployed and existing infrastructure and home-grown software, and in coordination with the Operations teams, ensures that all Configuration Items in the Configuration Management Database are in a healthy state. Interfaces with all areas affected by the project including Government and Contractor Engineering team, Operations, and the end user. Defines project scope and objectives and develops detailed work plans, schedules, project estimates, resource plans, and status reports. Conducts project meetings and is responsible for project tracking and analysis. Directs and participates in high-level enterprise architecture analysis, evaluation, design, integration, documentation, and development. Applies high-level business and technical principles and methods to very difficult technical problems to arrive at creative engineering solutions. Recommends and takes action to direct the analysis and solutions of problems. Has a deep understanding of DoD business transformation and processes, DoD organizational structure, and experience in developing briefings and responses to executives both within and external to the department.

Requirements:
Collaborate openly and frankly with all internal and external partners, such as Government Engineers, Contractor Engineers, Contractor Operations staff, Management, and 3rd party vendors
Work independently, help others and ask for help without hesitation
Drive innovation through data analysis, process analysis and automation
Determine innovative methods for using data sources
Collaborate with DevOps and ITSM Engineers on methods for locating and normalizing data sources, and implementing new processes or automations based on the analyzed data
Utilizing a multitude of COTS applications, and programming languages (e.g., Python, JavaScript), automate the collection of data, existing processes, and the deployment of new architectures (Infrastructure as Code). Primary tools and data sources include, but are not limited to:
Tools, Automation, and Orchestration software: UiPath, Hitachi Analytics, SCCM, Puppet, Ansible, GIT, CI/CD, Python, Perl, PowerShell, T-SQL, REST
Virtualization: vSphere, ESXi, vRealize Automation
Microsoft: Windows Server, SQL Server, Cluster Server
Oracle: Solaris, Database Server, WebLogic, Oracle HTTP Server, APEX, GoldenGate
Linux: Red Hat Enterprise Linux, OpenLDAP
Networking: Cisco Prime Infrastructure
Storage: OnCommand Insight, OnCommand Unified Manager, Hitachi Command Suite, NTPSoftware
Cloud architecture, e.g. Azure, Amazon Web Services, Google Cloud Platform
ITSM Tool Set and CMDB: ServiceNow
Other application stack software: Tomcat, WebSphere, ColdFusion, IIS, Identity Access and Management (IDaM), Sailpoint, CyberArk
Provide technical guidance and leadership on the integration of software within the Corps of Engineers' environment
Develop or analyze requirements in a Requirements Traceability Matrix, design and develop solution options in a Systems Engineering Plan, provide test plans, develop implementation plans including integration with existing systems in the production environment, provide engineering support through transition to operations and ""Early Life"" of new or upgraded systems/services in production, provide tools, processes and procedures for monitoring/performance measurement, event detection, problem identification and remediation, and troubleshooting assistance as needed after deployment
In collaboration with the Government Engineer, bring proposed changes to the Change Advisory Board
Give Continuous Service Improvement recommendations to the Chief Engineer
Report on forthcoming End of Life or End of Support to the Government Engineering team and Contractor Operations support -- develop plans for replacement, to be included in the Technology Refresh Plan
Perform detailed market research, develop Bills of Materials for Government consumption
Develop or update, and continually maintain all as-built site infrastructure drawings and associated documentation
Track work in the provided ITSM tool set and report all project status to the associated Government Engineer, Contractor Project Manager, and Engineering Leadership, etc.
Provide monthly status reports to the Director of Engineering
Document the data and software architecture, including automation and orchestration software, and design choices of the associated applications (Low Level Design, High Level Design)
In collaboration with the ITSM Architect, integrate all systems into the enterprise Configuration Management Database
Assist in daily operational duties regarding Automation/DevOps support, including working a ticket queue, and acting as the highest internal level of Automation/DevOps and Software Engineering, troubleshooting and problem management
In coordination with Government partners, prioritize workload

Qualifications:
Qualifications:
* 5 or more years of relevant experience, or a 4-year degree, or military experience

* Ability to obtain a Secret Clearance required

* Ability to obtain within 6 months of hire, one of the following certifications:

Certified Information Systems Security Professional (CISSP)

--OR- Certified Advanced Security Professional (CASP)

--OR- Security+ (Sec+)

* Certification in an Operating Environment per AR25-2 regulations (e.g., MCP, OCP, CCNA, etc.)

Preferred Qualifications:

Prior USACE/ACE-IT experience.
* Experience working in a DoD environment.",4.2,"['World Wide Technology', '4.2']","San Diego, CA","Maryland Heights, MO",5001 to 10000 employees,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),False,60,124 ()
1306,Sr. Data Governance Analyst,60-124 (),"Important note regarding current health crisis Don't give up your search for a new position or project. We're maintaining business as usual during this difficult time. For many of us, the way we work has changed abruptly. However, our clients have adapted their hiring processes to accommodate working remotely where possible, which includes phone and video interviews. Be safe, and don't hesitate to contact us if you have any questions. In addition, we offer an excellent benefits package for all consultants, including medical, dental, and vision coverage, a 401k plan, and paid sick leave. Learn more and apply today.Our client, a leader in the biotech industry, has a need for a Sr. Data Governance Analyst for an 8+ month W2 contract opportunity to join early to mid-July. This position will serve as a critical resource for a project implementation and ongoing support of data classification and categorization processes. Candidates local to San Diego preferred This role is responsible to provide deep technical knowledge of all facets of the data governance discipline and lifecycle in order to implement strategic initiatives + provide hands-on support, partnering with team members, business stakeholders and vendor resources. You will partner the Legal Privacy, Cybersecurity, Data Governance, and Information Systems teams and take ownership for the inventory and classification of key data assets. Both structured and unstructured data sources will be interrogated to capture a complete inventory of the specific assets, classifying them in conjunction with our classification schema and building repeatable processes to ensure appropriate attestation and handling of the data is in place. Responsibilities - Collaborate with information systems and business teams to address data classification and categorization needs by object. - Lead cross-functional team members in the implementation of strategic projects and enhancements from requirements gathering through deployment and post-production support. - Manage multiple priorities and stakeholder expectations across data objects. - Maintain active communication with stakeholders to manage expectations regarding changes to the system and the introduction of new and enhanced functionality. - Play an active role in operational readiness testing for application systems, performing hands-on testing and coordinating UAT. - Assess change impacts prior to change deployment. - Analyze problems, diagnose them and find root cause, and then either create a fix or partner with a team to collaboratively design a solution. - Along with Program Management, effectively manage all tasks related to delivering data classification and categorization in support of strategic initiatives and projects. Skills - 7-10 years of experience in data governance, data quality, data preparation, or data architecture in an SAP, SAP MDG, Hana, Salesforce, Informatica, and Tableau environments. - Prior experience in all stages of data discovery, classification, categorization and tagging required. - Ability to effectively communicate technical issues and solutions to business partners, verbally and in writing - MUST be an outstanding communicator. - Ability to listen and discern data governance oversight or involvement with little information. - Ability to troubleshoot and solve process and technical problems. - Hands-on person with exceptional analytical and problem-solving abilities. - Ability to place questions and problems in the proper context. - Ability to address problems logically, carefully, and methodically. - Persistence to pursue problems until they are solved, but also the good judgment to know when to stop and ask questions. - Ability to create and execute test plans. - Ability to effectively prioritize and execute tasks in a fast-paced environment. Strong collaboration skills with global workforce. - Ability to interface well with cross-functional teammates. - Change control experience in an FDA regulated environment. Education - BA or BS in complementary field of study - Data privacy or governance experience required.",4.9,"['The Carrera Agency', '4.9']","San Diego, CA","Aliso Viejo, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),False,60,124 ()
1888,Data Visualization Analyst,57-104 (),"Job Requisition ID #
20WD41504

Position Overview

We’re looking for a talented Data Visualization Analyst to join our Analytics team. This role will serve as a subject matter expert (SME) in Visualization and Business Intelligence development. Focus on this role will be on Data Visualization, Dashboarding & Storytelling, including the development of visual representations of data combining industry-proven best practices with ingenuity to produce compelling data stories that will help our business make rapid data-driven decisions. You will help to reveal a deeper understanding of our performance and opportunities across Autodesk Construction Services (ACS) groups including Product, Sales, Marketing, and Customer Support.

You’ll get to solve highly analytical problems that have a direct and considerable impact on Autodesk Construction Services. You will develop an end-to-end understanding of Data & Analytics, from ETL to Dashboarding to Predictive Modeling. Very few analyst roles have this amount of breadth. The role is highly cross-functional, which means you get to work with Product, Sales, Customer Success, Marketing. You’ll get a deep insight into all of our efforts as we seek to shape the future of the construction industry. Your work will help us design better products, improve user experience, and inform overall business strategy. We use modern data-stack that will allow you to move quickly and learn relevant industry technologies

Responsibilities
Create easy-to-consume dashboards of key metrics; monitor and share insights at a frequent cadence
Visualize data to communicate the performance and impact of various product changes
Design, build and automate reports that provide actionable insight on key metrics
Develop insightful and interactive business intelligence reports (KPIs, operating metrics, business metrics, ad-hoc queries), dashboards, and scorecards in regular cadence
Collaborate with stakeholders to ensure the creation and delivery of the new/enhanced reports/dashboards
Minimum Qualifications
Advanced data visualization skills, show the ability to tell stories and make dashboards actionable
2+ years of relevant experience
Hands-on experience with a cloud-based data-warehousing system (Snowflake)
Strong SQL skills
Strong experience in major BI tools (ie, Looker, Tableau)
Great communication skills with analysts and non-analysts alike
Excellent written and verbal communication skills
Preferred Qualifications
BS/MS in Business, Economics, Engineering, Math, Statistics, or equivalent experience
Ability to problem-solve and understand key drivers of the business
Experience in Python/R
Predictive modeling experience
About Autodesk Construction Solutions
Autodesk has fully reimagined the construction business for the digital age, enabling companies to address the most important challenges they face today while preparing for new ways of working in the future. The Autodesk Construction Solutions (ACS) portfolio connects the office, trailer and field so customers can move seamlessly through each phase of a building’s lifecycle - from design and preconstruction to construction, turnover and operations - with best-in-class solutions that include Assemble Systems, BIM 360, BuildingConnected and PlanGrid. General contractors, subcontractors, and owners around the world rely on ACS to win more work, enhance collaboration, speed decision-making, reduce risk, and improve overall project outcomes.

#ACSCareers

#LI-POST

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",4.0,"['Autodesk', '4.0']","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),False,57,104 ()
1892,Senior Data Analyst,57-104 (),"Job Requisition ID #
20WD41258
Job Title
Senior Data Analyst
Job Description

Position Overview

Autodesk is seeking an experienced data analyst to join the Data Science team in our Data Platform and Insights group. The Data Platform and Insights group is chartered with building innovative data products and analytics solutions for Autodesk’s strategy, marketing, sales and customer support teams.Data Analysts will play a critical role in discovering and communicating data-driven insights to inspire product improvements.

Responsibilities
Leverage Data Mining techniques to find key business insights
Partner with Data Scientists to improve Data Science models
Collaborate with Product Managers to explore new product ideas or enhancements
Build reporting to measure progress in key initiatives
Become an expert in Autodesk data
Work as an individual contributor with opportunities for management as we grow the team
Minimum Qualifications
2+ years in an Analyst role
Strong SQL coding skills and comfortable using it everyday
Experience working in Python or R
Experience building Data Visualizations via Python/R or a Business Intelligence toolPreferred
Preferred Qualifications
Familiarity with Data Science concepts
Experience working in Git
Experience using big data platforms (Hadoop, Spark, Hive)
A/B Testing ExperienceIdeal Candidate
Are interested in learning about Data Science
Have a strong attention to detail and care deeply about data quality
Proactively reach out to stakeholders to understand data better
Enjoy collaborating with team members to drive impact
Are a strong communicator; you can adjust communication for technical stakeholders and non-technical stakeholders
About Autodesk Construction Solutions
Autodesk has fully reimagined the construction business for the digital age, enabling companies to address the most important challenges they face today while preparing for new ways of working in the future. The Autodesk Construction Solutions (ACS) portfolio connects the office, trailer and field so customers can move seamlessly through each phase of a building’s lifecycle — from design and preconstruction to construction, turnover and operations — with best-in-class solutions that include Assemble Systems, BIM 360, BuildingConnected and PlanGrid. General contractors, subcontractors, and owners around the world rely on ACS to win more work, enhance collaboration, speed decision-making, reduce risk, and improve overall project outcomes.

#ACSCareers

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",4.0,"['Autodesk', '4.0']","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),False,57,104 ()
1895,Data Analyst,57-104 (),"Doximity is transforming the healthcare industry. Our mission is to help doctors be more productive, informed, and connected. As a Data Analyst, you'll work within cross-functional delivery teams alongside other analysts, engineers, and product managers in discovering data insights to help improve healthcare.

Our team brings a diverse set of technical and cultural backgrounds and we like to think pragmatically in choosing the tools most appropriate for the job at hand.

About Us
Here are some of the ways we bring value to doctors
Our data stack run on Python, Snowflake, Spark, and Airflow
Our web applications are built primarily using Ruby, Rails, JavaScript (Vue.js), and a bit of Golang
We have over 350 private repositories in Github containing our applications, forks of gems, our own internal gems, and open-source projects
We have worked as a distributed team for a long time; we're currently about 65% distributed
Find out more information on the Doximity engineering blog
Our company core values
Our recruiting process
Our product development cycle
Our on-boarding & mentorship process
Here's How You Will Make an Impact
Collaborate with a team of product managers, analysts and other developers to define and complete data projects from data ingestion, to analysis to recommendations.
Show off your engineering skills by creating data products from scratch and automating code so they can be re-used continually.
Leverage Doximity's extensive datasets to identify and classify behavioral patterns of medical professionals on our platform.
Play a key role in creating both product and client-facing analytics.
Grow into a presentation/communication-focused role or dive deeper into more-involved technical challenges - the choice is yours.
About you
B.S. or M.S. in quantitative field with 2-4 years of experience.
Working knowledge of statistics and visualization.
Expert SQL skills with proven ability to create and to evaluate complex SQL statements involving numerous tables and complex relationships.
Fluent in Python and experience using common modules (numpy, pandas, statsmodels, matplotlib) for EDA.
Excellent communication skills to explain your results and solutions to the stakeholders in a clear and compelling way.
Understanding of Object Oriented principles and testing as it relates to Data and Python.
Comfortable with UNIX command line interface and standard programming tools (vim/emacs, git, etc.)
Excellent problem solving skills and a strong attention to detail.
Ability to manage time well and prioritize incoming tasks from different stakeholders.
Fast learner; curiosity about and passion for data.
Preferred Qualifications:
Experience with Amazon Web Services products (EC2, S3, Snowflake).
Prior exposure to workflow management tools (Airflow).
Prior exposure to machine learning techniques (regressors, classifiers, etc).
Experience leveraging Apache Spark to perform analyses or process data.
Benefits
Doximity has industry leading benefits. For an updated list, see our career page
More info on Doximity

We're thrilled to be named the Fastest Growing Company in the Bay Area, and one of Fast Company's Most Innovative Companies. Joining Doximity means being part of an incredibly talented and humble team. We work on amazing products that over 70% of US doctors (and over one million healthcare professionals) use to make their busy lives a little easier. We're driven by the goal of improving inefficiencies in our $3.5 trillion U.S. healthcare system and love creating technology that has a real, meaningful impact on people's lives. To learn more about our team, culture, and users, check out our careers page, company blog, and engineering blog. We're growing steadily, and there's plenty of opportunity for you to make an impact.

Doximity is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",4.6,"['Doximity', '4.6']","San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,False,57,104 ()
1898,"Senior Analyst, Data & Analytics",57-104 (),"PubNub powers apps that bring people together in realtime for remote work, play, learning, and health. Thousands of companies use PubNub's Realtime Communication Platform and its APIs as the foundation for online chat, live events, geolocation, remote control, and live updates, at massive global scale. Since 2010, PubNub has invested in the tools and global infrastructure required to serve customers like Atlassian, Hasbro, Peloton, and RingCentral, delivering SOC 2 Type 2 security and reliability while meeting regulatory needs like HIPAA and GDPR. PubNub has raised over $70M from notable investors like Sapphire, Scale, Relay, Cisco, Bosch, Ericsson, and HPE.

PubNub is proud to be an EEO employer.

About The Role

PubNub is looking for a senior analyst to join the Data and Analytics team. Your mission is to help the team make informed decisions that help PubNub grow efficiently. As PubNub's first analyst, you'll get the opportunity to shape the future of PubNub's analytics, and have a lot of room for growth in your career. You'll bring clarity and structure to answer high impact questions for the business. You'll play a pivotal role leading measurement and insights, leveraging SQL query writing, data analysis, Google Analytics and data synthesis to better inform the team on how to drive results. You'll discover areas of opportunity that will drive the data and analytical roadmap.

Responsibilities
Collaborate closely with Sales, Marketing, Product and Engineering stakeholders to define data requirements and ensure data integrity
Provide analytical and data solutions to Marketing, Sales, Support and Product
Design data pipeline work and build dashboards to monitor experiments and key business metrics
Measure the effectiveness (ROI) of marketing campaigns and channels
Partner with Demand Generation team to deliver continuous conversion improvement on paid and organic channels
Focus on data, experimentation, testing, and analytics to uncover key business insights and opportunities
Present strategies, initiatives, and results to the broader cross-functional growth team
Requirements
Bachelor's degree required. 3-6 years professional experience in a highly analytical, data-intensive and strategic role
Must be advanced in SQL, Google Analytics, Excel and at least one data visualization tool (Mode / Tableau / Looker, etc.)
Demonstrated ability to leverage analytics and work with complex datasets to understand performance, optimize campaigns, drive decision-making, and measure outcomes
Able to clearly communicate key insights in a concise manner and anticipate questions in advance
Positive, upbeat attitude
Relentless focus on improvement
Open to locations in Western, USA
Bonus Points
Background in B2B SaaS marketing
Experience with A/B Testing
Experience with data analysis packages in R, Python, etc.
ETL pipeline development experience",4.1,"['PubNub', '4.1']","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Internet,Information Technology,$10 to $25 million (USD),True,57,104 ()
1899,Data Analyst/Engineer,57-104 (),"Apply by EmailDirect Application at udit.sharmasigmaway.org Data AnalystEngineer San Francisco, CA Contract Analyzing data and source systems, writing complex SQL queries, building data pipes (ETLELT) using Python Experienced working with Cloud Data Warehouse platforms (AWS).",4.1,"['SigmaWay', '4.1']","San Francisco, CA","New Delhi, India",1 to 50 employees,Company - Private,,,Unknown / Non-Applicable,False,57,104 ()
1900,Mid-Level Data Analyst,57-104 (),"Company Overview:
Founded in 2014, Giving Assistant is a fast growing, mission-driven, for-profit, Certified B Corporation. We envision a shopping economy where giving back is easy, and every purchase makes a difference no matter where you shop. Consumers will expect and demand nothing less. The winning companies will not only offer great products, they will also invest in the social and environmental missions that matter most to their customers.

We believe shopping and giving go together. We know that consumers shop more when they support a cause they love. That's why we have committed our team, partnerships, and technology to transform the collective power of consumer shopping into a new sustainable source of giving.

Giving Assistant empowers brands to enhance the shopping experience with personalized giving as a way to help consumers create impact, with each purchase. To date, our platform has generated over $5 million in donations to tens of thousands of U.S. nonprofits.

Our Mission:

To transform the collective power of consumer shopping into a new sustainable source of giving.

Our Core Values:

- Work Smart, Live Well
- Do More with Less
- Be a Team Player
- Uphold Integrity & Transparency
- Inspire Giving
- Own the Experience

Opportunity:

Be part of a new wave of change taking place across industries. With Web 1.0, online replaced offline businesses. In Web 2.0, niche-focused players took on the e-commerce giants. Giving Assistant is part of the next wave, a socially responsible wave, we call it, “conscious disruption.""

Your role will be vital in uplifting our core products at Giving Assistant to better serve the needs of our three-sided marketplace. You will contribute toward growth and positively impact our consumers, nonprofits and brands. Your eye will always be on key metrics.

Our business is growing rapidly and presents unique, evolving challenges. You should thrive in a fast-paced environment and find purpose in your work from having a measurable positive impact on society.
Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutionsRespond to requests for business data, reports, models or analysis.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Work with the Director of Data to help grow and refine the data department into a highly functional group of data experts.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Support the Company’s A/B testing framework by testing model quality.
Requirements:
Minimum of 4 years of professional experience in business intelligence and data engineering outside of an academic environment.
3-5 years of daily application of advanced querying capabilities in both SQL and NoSQL database systems in a professional environment.
Solid experience creating reporting dashboards and analysing data using Looker, Amplitude, and/or Tableau
2-3 years of experience using R or Python to manipulate data and draw insights from large data sets.
Proven track record of working with stakeholders in a professional environment to set expectations and work collaboratively at multiple levels of the organization to get things done.
A solid understanding of data science and machine learning principles.
Excellent communication skills (verbal and written).
Preferred Qualifications:
B.S. or M.S. in Data Engineering, Computer Science, Mathematical Sciences, Statistics or related field of study
Experience working in the e-commerce/affiliate industry
Experience working with MySQL and MongoDB
Experience with Agile methodologies & working with JIRA
Compensation:

Giving Assistant has a competitive compensation plan that includes:

- A competitive annual salary that factors in location and experience
- Stock options
- Medical, Dental, and Vision Insurance
- Unlimited Vacation
- Paid parental leave
- Stipend for continuing education

Perks:

- Have a measurable positive impact on society
- Work with a team of passionate professionals (and a few dogs!) in a new, beautiful & environmentally friendly skyscraper
- Pre-tax commuter, dependant care, and health FSAs
- Employer-sponsored 401K
- Cashback donation matching
- Quarterly company retreats and volunteer activities
- Audible membership
- Option to work from home Wednesdays and Fridays
- Weekly company social

Giving Assistant believes an equitable and inclusive work environment and a diverse, empowered team are key to achieving our mission. Giving Assistant provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, gender identity or expression, veteran status, or genetics. We strongly encourage candidates from underrepresented minorities in tech to apply.

*Note: we are not able to sponsor H1-B visas for this role",4.8,"['Giving Assistant', '4.8']","San Francisco, CA","San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),False,57,104 ()
1906,Data Analyst,57-104 (),"About Spin

Spin operates electric scooters in cities and campuses nationwide, bringing sustainable last-mile mobility solutions to diverse communities. Recognized for its consistent cooperation and collaboration with cities, Spin partners closely with transportation planners, elected officials, community groups, and university administrators to bring stationless mobility options to streets in a responsible and carefully orchestrated manner.

Based in San Francisco, Spin is a diverse team of engineers, designers, urban planners, policymakers, lawyers and operators with experience from Y Combinator, Lyft, Uber, local and federal government, and the transportation advocacy world. Spin was known for launching the first stationless mobility program in Seattle, and has since expanded to become the exclusive electric scooter partner in mid-sized cities like Coral Gables, Florida and Lexington, Kentucky, and one of a few permitted scooter operators in large cities like Denver, Detroit, and Washington, D.C. The team embeds in cities and neighborhoods to understand their specific transportation needs, and hires locally from the community.

Spin is expanding quickly and looking for top-tier talent to help us bring affordable and accessible transportation options to cities and define what future safe streets will look like.

About the Role:
We are looking for data analysts to work across the organization to generate the data and analysis required to answer some of our toughest questions to help us innovate and grow. You will be solving business problems, identifying data quality issues and performing statistical analysis. You will be working closely with the engineering team to gather new data.

Responsibilities
Set business metrics that measure the health of our business and product
Collaborate with product, engineering, finance, business and operations teams to translate business insights into decisions and actions
Find opportunities for growth and efficiency
Design and analyze experiments
Develop dashboards and frameworks to monitor business and product performance

Qualifications
Degree in a quantitative field like statistics, economics, engineering, or applied math preferred
Minimum of 3 years of relevant experience in data science or analytics role
Proficient in SQL
Experience in R or Python and data science and visualization libraries
Strong oral and written communication skills, and ability to collaborate with cross-functional partners to build the business

Benefits & Perks
Opportunity to join a fast-growing startup and help shape and establish the company's industry leadership
Competitive health benefits
Daily catered lunch in our SF office
Unlimited PTO for salaried roles
Commuter stipend plus pre-tax benefits
Monthly cell phone bill stipend
Wellness perk for salaried roles
Spin is an equal opportunity employer and will not discriminate against any employee or applicant for employment in an unlawful matter. We celebrate diversity and are committed to creating an inclusive environment for all individuals. Spin treats all employees and job applicants on the basis of merit, qualifications, and competence without regard to any qualified individuals' sex, race, color, religion, national origin, ancestry, gender (including pregnancy, breastfeeding, or related medical condition), sexual orientation, gender identity, gender expression, age, physical or mental disability, medical condition, genetic characteristic or information, marital status, military and veteran status, or any other characteristic protected by state or federal law. Spin also considers qualified applicants with criminal histories, consistent with applicable local, state, and federal law.

Spin is committed to providing reasonable accommodations for qualified individuals with disabilities in its job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at job_accommodations@spin.pm.",4.0,"['Spin', '4.0']","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,False,57,104 ()
1907,Temporary Part Time Data Analyst (Remote - North & South America),57-104 (),"Elevate Labs is on a mission to improve people's minds.

The ability to write well and speak eloquently deeply affects your trajectory in life, regardless of profession. Unfortunately, many people leave high school and even college extremely unprepared in these areas. We developed our flagship mobile app, Elevate, to help bridge this gap, through 35 games (and more on the way) that teach concrete cognitive skills. Elevate has over 30 million downloads and has received numerous accolades, including Apple’s App of the Year award.

The Elevate app was just the beginning. We’ve recently launched Balance, a personalized meditation app, that helps people with their stress, sleep, focus, and much more. It’s a truly customized experience that makes meditation more accessible to millions of people.

Join us in creating the future of products that help people live healthy, joyful, and productive lives.

About the Elevate Data Team

We are an iterative, data-driven team with an emphasis on impact. We are also lean and highly technical; always learning interesting new ways to automate our efforts so we don’t have to do the same work repeatedly or take on unnecessary overhead. We are responsible for all analysis, reporting, data quality, A/B test analysis, and our Looker level Persistent Derived Tables and logic. We are called on to do a number of predictive analyses and support other teams in their usage of self-service tools.

About the Role

We are looking for a temporary, all-remote, part-time contractor to join our Data Team as an analyst (20-28 hr/week). There is potential for the role to convert to a full time position in the future.

About You

Inquisitive, curious, and scrappy. Willing to dive into an existing spreadsheet or codebase and figure out how to improve it. Interested in automating manual reporting, exploratory analysis, and documenting what we build.
What you’ll do here
QA our current KPI metrics and dashboards
Create technical documentation for the Data Team and lay person documentation for non-technical stakeholders
Analyze trends over time or specific events related to: user behavior, revenue, ad spend, and other use cases
Create new Persistently Derived Tables (PDT) and Dashboards in Looker for stakeholder teams (using SQL and LookML)
Help implement third party systems for user flow analysis. Once running, analyze how users move through the apps.
What we’re looking for
20-28 hours a week
Ability to communicate clearly with both technical and non-technical stakeholders - Document the underlying logic of Key Performance Indicators (KPIs) based on code. Clearly teach/explain to non-technical stakeholders.
Analytical ability - Synthesize and distill large amounts of data or information into bite-sized, understandable insights.
Google Sheets/Excel wizard - Keen eye to QA sheets that already exist and have errors. Can create self-service sheets for non-technical users.
Strong SQL knowledge - CTE’s; CASE WHEN; Multiple levels of aggregation into a final table; Ability to QA SQL code
Motivated to research and figure things out independently.
Bonus Points
Experience with Looker and LookML specifically
Experience with reporting and KPIs at a mobile app company
Analysis experience in R or Python
At Elevate Labs we value diversity and are an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",5.0,"['Elevate Labs', '5.0']","San Francisco, CA","San Francisco, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,False,57,104 ()
